time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,98,,,84.6,0.0,3.9
11,101,,,83.7,3.23,39.7
21,103,,,84.7,6.32,102.9
30,113,,,88.6,4.817,158.3
42,114,,,89.6,3.9,208.5
51,111,,,88.8,4.82,248.1
60,111,,,87.0,6.54,303.0
70,111,,,85.0,8.3,386.0
80,108,,,87.3,6.28,448.8
90,108,,,88.8,4.85,498.5
100,112,,,86.0,4.757,543.0
110,113,,,82.7,8.5,626.3
120,113,,,82.7,8.22,708.5
131,114,,,83.0,6.891,784.3
140,114,,,81.7,7.175,848.2
154,109,,,84.1,4.99,923.6
160,106,,,85.6,4.117,948.3
171,107,,,88.1,4.445,997.2
180,106,,,89.5,4.58,1038.8
190,110,,,90.2,5.28,1091.6
200,126,,,90.0,6.483,1153.3
216,139,,,90.1,6.85,1259.3
222,137,,,90.8,6.823,1300.0
232,137,,,92.8,5.589,1356.4
242,139,,,94.3,4.24,1401.1
252,136,,,94.2,6.767,1467.8
260,135,,,95.1,6.46,1520.5
271,138,,,96.9,5.767,1584.7
280,139,,,96.9,5.822,1637.1
290,143,,,96.8,0.486,1647.1
301,139,,,97.5,4.533,1686.3
310,139,,,98.7,5.7,1739.1
323,139,,,97.2,6.9,1820.4
330,139,,,95.3,7.992,1880.2
342,138,,,91.9,9.414,1990.1
350,129,,,90.0,9.7,2068.4
361,129,,,89.0,9.764,2175.8
376,129,,,89.8,8.136,2298.7
381,129,,,89.4,8.48,2341.1
392,135,,,88.8,8.02,2427.8
401,137,,,88.6,8.157,2503.0
410,136,,,88.2,7.9,2574.1
421,134,,,87.6,7.982,2661.9
431,132,,,86.3,6.8,2731.6
440,134,,,84.2,4.1,2775.7
451,138,,,83.0,2.725,2804.8
461,133,,,81.9,3.586,2840.8
474,131,,,79.9,6.362,2923.5
480,129,,,78.9,7.223,2968.9
491,119,,,76.8,8.68,3060.0
502,119,,,74.8,8.709,3155.8
515,117,,,72.7,8.363,3265.8
522,119,,,70.9,8.707,3329.7
530,120,,,69.2,9.671,3406.7
542,123,,,67.6,9.183,3516.9
552,120,,,65.2,9.16,3608.5
562,118,,,62.8,9.87,3707.2
570,120,,,61.2,10.163,3788.5
582,118,,,58.5,9.878,3906.7
590,121,,,56.7,9.9,3985.9
603,127,,,53.4,10.187,4116.4
612,133,,,51.3,10.033,4206.7
623,128,,,50.1,9.514,4314.1
630,126,,,48.3,9.771,4382.5
641,121,,,45.5,10.06,4493.0
652,125,,,43.1,9.9,4603.0
663,129,,,40.9,9.836,4711.2
671,128,,,39.0,8.962,4782.9
684,130,,,36.6,8.033,4887.4
695,125,,,35.0,8.25,4978.2
704,129,,,33.9,7.589,5046.5
710,129,,,33.2,7.85,5095.6
724,125,,,32.1,8.1,5210.0
734,118,,,31.6,7.887,5289.2
743,121,,,31.1,7.243,5351.6
751,127,,,30.7,6.443,5404.5
760,129,,,30.4,6.089,5459.3
776,123,,,29.7,5.782,5550.7
781,123,,,29.3,5.654,5577.9
792,122,,,28.4,2.65,5618.8
804,119,,,28.7,3.737,5661.4
814,124,,,29.3,2.82,5689.6
825,128,,,27.5,4.191,5735.7
830,132,,,25.4,5.96,5765.5
840,128,,,22.5,3.786,5809.9
854,128,,,22.3,0.0,5810.4
861,131,,,22.9,3.6,5835.6
870,131,,,22.9,5.5,5881.9
881,132,,,21.6,6.664,5955.2
893,129,,,18.9,3.786,6012.8
901,126,,,18.2,1.7,6027.3
913,122,,,15.1,5.3,6102.8
922,121,,,15.1,4.3,6141.5
931,125,,,15.5,7.4,6202.3
942,120,,,17.2,7.933,6289.8
953,127,,,19.3,6.85,6366.5
963,125,,,20.4,6.56,6432.1
976,127,,,17.9,7.918,6532.4
980,120,,,17.1,8.455,6568.3
993,109,,,15.7,0.75,6620.6
1144,103,,,15.9,0.002,6620.6
1150,103,,,16.5,3.48,6640.4
1160,108,,,17.6,5.28,6689.9
1170,108,,,19.1,5.817,6746.6
1180,109,,,20.4,5.786,6804.6
1192,111,,,18.7,6.933,6887.8
1200,113,,,17.0,8.329,6953.8
1210,117,,,15.4,8.89,7042.7
1225,120,,,14.9,8.518,7170.8
1230,110,,,15.0,8.14,7211.5
1243,105,,,15.7,7.533,7310.6
1251,106,,,16.2,6.975,7366.4
1264,110,,,15.1,8.583,7471.7
1271,111,,,15.0,8.167,7526.8
1281,110,,,14.3,8.333,7609.8
1291,120,,,14.9,7.76,7690.8
1303,119,,,15.8,3.844,7740.4
1311,116,,,19.6,5.786,7787.9
1322,117,,,23.9,3.96,7837.3
1337,117,,,29.7,4.953,7911.6
1344,116,,,31.8,4.894,7945.4
1355,120,,,33.0,5.413,8002.0
