time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,94,,,116.0,0.0,2.1
14,95,,,113.7,5.47,65.9
21,94,,,112.0,7.292,121.4
35,103,,,112.8,6.186,219.2
40,106,,,110.2,6.955,258.8
51,113,,,109.6,7.843,347.0
62,115,,,109.3,6.236,415.6
71,115,,,108.8,6.267,472.0
84,120,,,109.0,6.012,553.3
91,116,,,109.5,4.971,588.1
105,111,,,112.1,3.885,643.1
112,105,,,113.0,3.686,668.9
123,108,,,114.2,3.691,709.5
131,117,,,114.7,3.183,735.2
140,117,,,115.1,3.611,767.7
154,117,,,114.2,4.964,837.2
160,110,,,113.3,5.183,868.3
171,108,,,106.5,8.611,958.0
180,109,,,105.6,10.167,1049.5
194,111,,,107.2,8.17,1167.4
205,114,,,106.2,7.08,1244.7
212,114,,,106.3,6.757,1292.0
223,115,,,106.5,6.7,1365.7
231,117,,,106.7,6.835,1421.3
241,117,,,107.2,6.46,1487.6
253,119,,,107.2,5.967,1559.2
260,116,,,107.2,6.014,1601.3
273,120,,,107.1,6.244,1682.9
283,126,,,107.2,6.086,1744.3
293,128,,,107.1,6.62,1810.5
304,131,,,106.9,6.345,1880.3
314,133,,,107.1,6.3,1943.3
321,131,,,107.2,6.087,1985.1
330,127,,,107.2,7.133,2048.2
341,128,,,106.9,5.813,2121.8
355,121,,,107.0,5.025,2193.4
365,121,,,107.1,5.76,2251.0
373,118,,,107.0,6.135,2302.8
382,120,,,106.9,6.476,2361.1
397,127,,,106.8,5.808,2449.3
403,125,,,106.9,5.686,2482.4
410,122,,,106.9,5.785,2524.5
421,119,,,106.9,5.789,2588.0
430,115,,,107.1,5.844,2640.6
442,116,,,106.9,5.922,2711.5
455,114,,,106.8,5.929,2789.3
461,116,,,106.8,5.533,2822.5
475,115,,,106.9,5.773,2903.1
480,110,,,106.9,6.02,2933.2
490,107,,,106.9,5.989,2993.0
504,113,,,106.8,6.209,3078.6
515,110,,,106.7,6.327,3148.2
520,106,,,106.8,6.2,3179.2
532,106,,,108.5,4.33,3235.0
542,106,,,108.6,3.55,3270.5
550,116,,,108.4,5.033,3309.4
564,123,,,108.1,5.409,3385.4
574,122,,,106.5,5.667,3444.7
581,122,,,106.8,5.894,3485.6
593,119,,,106.7,6.15,3556.2
603,119,,,108.2,5.864,3613.4
615,118,,,111.9,3.71,3660.1
621,116,,,113.5,3.308,3679.4
637,118,,,114.8,3.431,3734.3
642,118,,,114.5,4.173,3759.5
650,115,,,114.0,5.7,3804.8
664,114,,,110.3,7.129,3904.6
671,120,,,108.7,9.171,3968.8
680,122,,,107.9,8.278,4043.3
692,122,,,107.2,7.511,4134.5
700,121,,,107.0,7.071,4189.2
711,119,,,107.0,6.645,4262.3
721,119,,,107.3,6.343,4325.2
737,123,,,110.7,4.827,4406.2
741,119,,,111.4,4.45,4422.0
751,123,,,111.2,4.711,4468.5
767,124,,,112.0,5.211,4553.9
774,122,,,113.6,3.557,4578.8
781,123,,,114.8,3.162,4599.1
792,117,,,116.2,2.757,4629.1
808,122,,,118.4,3.0,4676.0
813,118,,,119.3,3.25,4693.8
823,121,,,120.4,2.64,4720.2
832,127,,,120.8,3.729,4752.6
842,124,,,121.2,3.93,4791.9
851,103,,,121.4,3.76,4825.8
860,104,,,121.7,3.9,4860.7
877,109,,,120.5,5.364,4946.0
882,111,,,119.1,5.946,4979.3
895,108,,,118.7,6.708,5066.5
902,110,,,119.9,6.146,5109.2
910,109,,,120.2,4.188,5142.7
924,109,,,120.7,5.357,5217.0
931,118,,,121.1,5.257,5253.8
947,120,,,121.0,5.712,5345.2
957,120,,,120.9,6.065,5407.7
966,119,,,120.4,6.574,5470.1
