time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,100,,,29.6,0.0,0.0
10,102,,,25.8,10.7,69.0
20,104,,,20.8,8.0,160.0
30,105,,,17.6,8.2,227.0
40,110,,,15.2,7.6,307.0
50,116,,,16.2,5.6,369.0
60,126,,,19.4,3.1,404.0
70,134,,,22.6,2.3,428.0
80,141,,,25.8,3.0,453.0
90,144,,,27.8,3.5,489.0
100,145,,,29.2,4.4,530.0
110,144,,,29.2,5.9,586.0
120,136,,,28.8,5.6,643.0
130,131,,,28.8,6.3,706.0
140,127,,,26.8,7.7,779.0
150,127,,,27.2,6.5,848.0
160,121,,,27.2,6.2,912.0
170,116,,,22.6,7.9,981.0
180,114,,,18.8,9.0,1070.0
190,120,,,18.2,7.4,1150.0
200,122,,,21.6,2.2,1185.0
231,121,,,24.2,0.131,1195.2
259,127,,,24.8,0.161,1208.1
260,128,,,25.0,0.161,1210.0
270,129,,,26.4,2.3,1232.0
280,135,,,28.6,2.3,1255.0
290,140,,,31.0,2.3,1279.0
300,148,,,33.8,2.3,1302.0
310,151,,,36.8,2.7,1327.0
320,151,,,39.0,3.0,1356.0
330,149,,,40.2,3.6,1392.0
340,148,,,42.0,3.2,1424.0
350,147,,,43.8,3.9,1459.0
360,148,,,45.2,3.2,1493.0
370,152,,,48.2,3.0,1523.0
380,155,,,50.8,3.4,1556.0
390,153,,,52.8,3.3,1590.0
400,153,,,55.6,3.0,1621.0
410,153,,,57.8,3.4,1653.0
420,153,,,59.6,3.5,1687.0
430,153,,,61.8,3.3,1720.0
440,151,,,63.6,3.7,1756.0
450,148,,,63.8,5.2,1805.0
460,136,,,61.2,7.9,1877.0
470,119,,,57.8,4.9,1940.0
480,121,,,56.6,5.7,1992.0
490,124,,,56.6,7.2,2059.0
500,123,,,55.8,7.8,2135.0
510,119,,,54.0,8.2,2216.0
520,121,,,52.0,8.0,2296.0
530,120,,,51.2,8.3,2379.0
540,121,,,49.2,8.4,2462.0
550,130,,,47.0,10.0,2558.0
560,127,,,45.0,9.7,2656.0
570,122,,,43.8,9.3,2750.0
580,114,,,42.6,8.0,2833.0
590,112,,,42.4,4.7,2889.0
614,118,,,42.2,0.246,2903.4
620,118,,,42.0,4.2,2927.0
630,116,,,42.0,5.4,2979.0
640,116,,,41.8,6.3,3038.5
650,121,,,41.2,7.0,3107.0
660,124,,,40.0,8.5,3188.5
670,117,,,37.2,8.8,3276.0
680,119,,,35.6,8.9,3365.5
690,123,,,34.8,8.2,3448.0
700,124,,,35.2,7.2,3522.0
710,128,,,36.0,6.4,3588.0
720,130,,,37.4,5.9,3647.5
730,134,,,38.4,6.3,3708.5
740,134,,,37.8,7.5,3780.5
750,126,,,34.8,9.5,3870.5
760,116,,,29.8,11.5,3977.5
770,104,,,17.6,14.4,4115.0
780,96,,,9.8,10.7,4233.5
790,114,,,12.6,7.2,4313.0
800,120,,,13.6,7.8,4389.0
810,120,,,11.8,8.3,4471.5
820,123,,,10.6,6.6,4544.0
830,126,,,12.8,2.7,4579.5
840,135,,,15.4,2.8,4606.0
850,144,,,18.2,3.2,4637.0
860,147,,,21.4,2.7,4664.5
870,149,,,23.8,2.8,4692.0
880,152,,,26.6,2.8,4719.0
890,153,,,29.2,2.7,4745.5
900,154,,,31.6,3.2,4775.0
910,155,,,33.8,3.0,4806.0
920,155,,,35.8,3.1,4837.5
930,153,,,37.6,3.5,4871.5
940,151,,,39.0,3.7,4907.5
950,148,,,40.6,3.6,4944.0
960,146,,,41.2,5.3,4991.5
970,143,,,41.6,6.1,5049.5
980,135,,,40.6,6.6,5116.0
990,129,,,39.8,7.0,5186.0
1000,128,,,38.2,7.5,5259.5
1010,126,,,37.2,7.3,5333.5
1020,126,,,37.6,6.6,5402.0
1030,133,,,39.0,5.7,5460.5
1040,130,,,40.4,6.5,5522.5
1050,132,,,39.8,6.9,5590.5
1060,130,,,40.8,5.5,5649.5
1070,134,,,42.6,5.2,5702.0
1080,134,,,43.2,5.2,5753.0
1090,134,,,44.2,5.1,5803.5
1100,131,,,45.0,5.2,5857.0
1110,130,,,46.2,5.2,5909.0
1120,132,,,47.6,4.6,5958.0
1130,138,,,49.2,4.6,6004.0
1140,146,,,51.8,4.3,6049.5
1150,144,,,53.6,4.0,6089.0
1160,147,,,55.6,4.2,6130.0
1170,148,,,57.4,3.9,6169.5
1180,149,,,59.0,4.1,6210.5
1190,149,,,60.6,4.2,6253.0
1200,143,,,61.8,4.6,6299.0
1210,134,,,62.6,3.2,6336.0
1220,139,,,63.6,3.1,6367.5
1230,150,,,66.8,2.7,6393.5
1240,155,,,69.4,3.9,6428.5
1250,155,,,71.0,3.8,6467.0
1260,154,,,72.8,4.1,6506.5
1270,149,,,71.6,6.9,6568.5
1280,137,,,66.8,5.7,6633.5
1290,120,,,60.2,2.575,6663.9
1326,105,,,59.0,0.132,6668.6
1330,109,,,58.8,0.545,6687.5
1340,98,,,56.4,8.0,6757.0
1350,104,,,43.8,11.6,6867.0
1360,94,,,34.0,7.5,6948.5
1370,95,,,26.2,6.9,7019.5
1380,92,,,23.2,6.4,7083.0
1390,98,,,16.2,9.0,7169.0
1400,99,,,13.6,3.2,7216.0
1413,108,,,13.4,0.554,7232.8
1420,115,,,13.4,3.0,7253.0
1430,129,,,13.4,3.5,7287.0
1440,135,,,13.2,0.9,7305.0
1450,136,,,13.0,1.9,7324.0
1473,125,,,13.4,0.231,7342.2
1480,124,,,13.0,1.8,7355.0
1490,123,,,13.0,1.7,7373.0
1500,113,,,13.0,1.7,7390.0
1510,116,,,12.8,1.7,7407.0
1520,119,,,12.8,1.5,7422.0
1530,123,,,13.0,1.7,7439.0
1540,125,,,13.4,1.7,7455.0
1550,122,,,13.4,1.4,7469.0
1560,124,,,13.2,1.3,7484.0
1570,126,,,13.4,1.5,7499.0
1580,125,,,13.4,1.5,7514.0
1590,127,,,13.4,1.7,7529.0
1600,125,,,13.6,1.9,7547.0
1610,121,,,13.4,1.8,7565.0
1620,122,,,13.2,1.8,7583.0
1630,122,,,12.8,1.7,7600.0
1640,123,,,12.8,1.8,7619.0
1650,121,,,12.6,1.7,7637.0
1660,120,,,12.6,1.6,7654.0
1670,121,,,12.6,1.7,7671.0
1680,120,,,12.6,1.7,7688.0
1690,123,,,12.4,1.7,7705.0
1700,123,,,12.6,1.8,7723.0
1710,120,,,12.6,1.8,7740.0
1729,120,,,13.4,0.322,7759.2
1730,120,,,13.4,0.322,7761.0
1740,123,,,13.2,1.7,7778.0
1750,122,,,13.2,1.5,7795.0
1760,124,,,13.6,1.7,7812.0
1770,122,,,13.2,1.7,7829.0
1780,119,,,13.0,1.7,7846.0
1790,121,,,13.2,1.836,7863.2
1803,118,,,13.8,0.343,7872.5
1810,121,,,13.8,1.3,7881.0
1820,126,,,14.8,2.5,7907.0
1830,134,,,16.4,2.5,7932.0
1840,146,,,19.2,2.5,7957.0
1850,154,,,22.0,2.5,7982.0
1860,161,,,25.8,2.4,8006.0
1870,164,,,29.4,2.6,8033.0
1880,165,,,33.0,2.2,8056.0
1890,167,,,36.0,2.7,8083.0
1900,167,,,39.4,2.4,8109.0
1910,167,,,42.0,2.3,8132.0
1920,167,,,44.2,2.9,8158.0
1930,165,,,46.4,3.2,8188.0
1940,162,,,47.0,4.0,8225.0
1950,161,,,48.2,3.7,8263.0
1960,159,,,49.8,3.8,8300.0
1970,157,,,51.0,3.6,8336.0
1980,157,,,53.8,2.5,8367.0
1990,151,,,54.6,1.8,8387.0
2000,143,,,53.6,3.8,8425.0
2010,137,,,53.0,3.3,8458.0
2020,124,,,52.0,2.5,8490.0
2030,124,,,51.0,2.5,8507.0
2040,119,,,50.2,2.267,8532.8
2215,108,,,49.8,0.024,8534.9
2220,118,,,50.0,0.068,8547.0
2230,120,,,50.6,3.0,8576.0
2240,130,,,52.4,2.6,8602.0
2250,132,,,54.0,3.1,8635.0
2260,137,,,56.2,2.7,8661.0
