time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,98,,,6.6,0.0,0.0
10,103,,,6.2,3.2,28.0
20,116,,,6.4,4.8,74.0
30,124,,,7.4,4.7,121.0
40,130,,,8.6,4.3,167.0
50,136,,,10.4,4.6,214.0
60,137,,,11.6,2.8,250.0
70,138,,,12.6,3.3,273.0
80,142,,,14.0,3.6,309.0
90,141,,,15.2,4.7,353.0
100,139,,,14.6,6.4,415.0
110,132,,,14.2,6.5,479.0
120,129,,,14.2,4.1,532.0
191,107,,,16.0,0.222,547.8
201,120,,,15.6,6.3,599.5
211,114,,,12.6,8.5,679.5
221,121,,,9.8,7.9,761.5
231,121,,,10.8,6.7,831.5
241,124,,,11.2,6.3,895.5
251,122,,,11.6,6.5,960.5
261,127,,,11.0,6.3,1023.5
271,127,,,11.2,6.2,1088.0
281,121,,,12.4,4.8,1136.0
291,129,,,13.2,4.5,1181.5
301,136,,,15.4,3.7,1219.5
311,143,,,17.2,3.6,1254.0
321,145,,,17.8,3.8,1292.0
331,147,,,19.0,4.2,1333.0
341,146,,,18.8,7.6,1399.0
351,140,,,15.8,5.8,1469.0
361,132,,,17.6,6.2,1523.0
371,129,,,13.0,8.6,1604.0
381,126,,,8.6,9.5,1698.5
391,126,,,8.2,7.6,1780.0
401,126,,,8.0,7.6,1856.0
411,130,,,8.0,7.6,1932.0
421,130,,,7.6,6.5,1998.5
431,133,,,9.2,6.5,2064.5
441,136,,,9.6,6.5,2128.5
451,136,,,10.6,6.0,2189.0
461,136,,,10.8,5.9,2249.5
471,135,,,11.2,6.0,2308.0
481,132,,,11.2,5.8,2368.0
491,125,,,11.2,4.8,2421.0
501,121,,,11.4,5.2,2462.0
511,116,,,8.6,7.8,2536.0
521,114,,,7.0,6.7,2607.5
531,111,,,7.0,4.4,2641.0
541,112,,,7.2,2.8,2678.0
551,115,,,8.4,1.5,2691.5
561,118,,,8.6,1.7,2707.5
571,120,,,9.4,2.2,2726.0
652,97,,,9.4,0.081,2734.1
662,108,,,9.8,7.0,2799.0
672,128,,,8.8,8.2,2880.0
682,131,,,8.2,5.7,2945.5
692,136,,,8.6,2.8,2984.0
702,125,,,8.4,5.5,3026.5
712,127,,,7.6,5.4,3085.0
722,121,,,6.8,6.0,3145.0
732,117,,,6.4,1.652,3178.3
886,83,,,6.0,0.083,3190.9
896,97,,,5.4,6.7,3245.5
906,121,,,5.0,6.7,3312.5
916,133,,,7.4,4.8,3365.0
926,140,,,10.2,4.5,3410.5
936,138,,,10.4,1.5,3430.5
970,114,,,10.2,0.5,3447.5
980,105,,,8.4,7.0,3503.0
990,113,,,5.0,8.7,3587.5
1000,119,,,3.8,8.5,3673.5
1010,128,,,4.0,8.5,3757.5
1020,134,,,4.6,7.8,3837.0
1030,138,,,5.4,8.5,3920.5
1040,144,,,5.2,7.4,3999.0
1050,143,,,5.6,7.5,4073.5
1060,142,,,6.0,7.8,4151.0
1070,143,,,6.0,7.3,4225.5
1080,144,,,6.6,7.5,4300.5
1090,145,,,7.6,7.5,4374.5
1100,146,,,8.0,7.6,4450.0
1110,147,,,7.2,7.9,4529.5
1120,144,,,7.4,7.5,4604.5
1130,137,,,6.8,7.5,4679.5
1140,133,,,7.0,7.2,4755.0
1150,125,,,7.4,1.8,4787.0
1160,118,,,7.8,2.4,4802.0
1170,127,,,8.0,5.7,4854.5
1180,130,,,8.4,5.7,4912.5
1190,135,,,10.2,4.1,4957.5
1200,137,,,11.6,5.1,5002.5
1210,133,,,10.6,3.753,5051.8
1225,123,,,10.4,1.203,5067.3
1235,125,,,10.4,5.9,5120.5
1245,131,,,11.4,5.6,5177.0
1255,139,,,12.0,6.0,5236.0
1265,143,,,12.4,6.8,5302.0
1275,143,,,11.8,7.5,5375.5
1285,142,,,11.4,7.2,5449.0
1295,139,,,12.2,6.7,5517.5
1305,136,,,13.6,6.2,5581.0
1315,135,,,13.6,6.6,5646.0
1325,133,,,12.4,7.7,5719.5
1335,125,,,11.2,1.52,5759.6
1353,113,,,11.8,0.864,5775.1
1363,111,,,11.4,6.3,5827.5
1373,117,,,11.4,6.6,5893.0
1383,126,,,11.6,5.9,5955.5
1393,122,,,12.6,4.9,6007.5
1403,116,,,13.2,5.8,6062.0
1413,115,,,13.2,6.0,6121.0
1423,115,,,13.4,5.5,6176.5
1433,112,,,13.2,6.9,6241.5
1443,112,,,12.4,6.6,6312.0
1453,106,,,12.4,4.6,6357.0
1463,100,,,12.0,4.8,6405.0
1473,107,,,11.6,5.6,6459.0
1483,115,,,12.6,4.2,6507.0
1493,109,,,13.4,1.6,6525.0
1533,104,,,13.6,0.183,6532.1
1543,109,,,13.6,3.1,6559.5
1557,109,,,13.6,1.845,6589.8
1567,114,,,13.6,2.4,6615.0
1577,117,,,13.6,1.8,6638.0
1587,118,,,13.6,0.8,6658.0
1597,114,,,13.6,0.997,6669.0
1607,119,,,12.4,5.5,6721.5
1617,119,,,12.4,6.3,6783.5
1627,121,,,12.4,6.4,6848.0
1637,122,,,11.8,6.4,6913.0
1647,119,,,11.8,5.4,6971.0
1657,117,,,12.0,6.6,7028.0
1667,123,,,10.6,7.1,7098.5
1677,118,,,10.4,3.8,7145.0
1687,112,,,9.8,6.2,7202.0
1697,118,,,9.6,6.3,7265.5
1707,124,,,9.6,6.5,7330.5
1717,130,,,9.6,6.7,7396.5
1727,134,,,9.8,6.3,7460.5
1737,134,,,10.8,6.3,7523.5
1747,133,,,11.4,5.9,7584.5
1757,133,,,12.2,5.0,7636.0
1767,136,,,13.4,5.4,7689.0
1777,138,,,14.6,5.5,7742.5
1787,139,,,15.8,5.3,7795.5
1797,139,,,16.6,5.2,7849.0
1807,136,,,17.2,5.5,7902.5
1855,106,,,18.4,0.287,7928.3
1865,115,,,16.8,7.4,7993.0
1875,111,,,12.8,8.8,8079.0
1885,113,,,11.2,9.0,8169.0
1895,108,,,10.8,0.802,8201.0
1938,107,,,11.0,0.331,8215.6
1948,115,,,9.6,7.6,8283.0
1958,117,,,8.0,8.5,8364.5
1968,125,,,6.6,8.3,8447.5
1978,125,,,6.0,7.8,8528.0
1988,124,,,6.4,7.6,8605.0
1998,125,,,6.4,7.4,8680.0
2008,123,,,7.4,6.4,8746.0
2018,121,,,8.2,5.2,8801.0
2028,125,,,8.6,6.3,8860.5
2038,125,,,8.6,6.3,8923.5
2048,126,,,9.0,6.8,8991.0
2058,121,,,9.6,4.0,9045.0
2111,98,,,10.4,0.205,9057.2
2121,111,,,10.2,5.1,9100.5
2131,116,,,9.6,6.5,9163.5
2141,125,,,9.4,7.3,9234.5
2151,129,,,8.6,7.1,9306.5
2172,117,,,9.6,0.932,9349.1
2182,112,,,8.8,4.8,9395.0
2192,110,,,8.4,6.6,9454.0
2202,110,,,7.2,5.8,9512.0
2212,104,,,7.0,4.0,9556.0
2222,109,,,6.0,6.0,9612.0
2232,115,,,6.4,6.6,9675.0
2242,118,,,5.6,7.2,9747.0
2252,122,,,5.4,6.8,9815.0
2262,121,,,5.4,6.2,9880.0
2272,117,,,6.4,4.4,9925.0
2282,109,,,6.6,3.5,9963.5
2292,103,,,6.2,4.0,9995.0
2302,120,,,5.2,6.5,10057.5
2312,120,,,5.6,5.4,10117.0
2322,120,,,5.4,6.8,10174.0
2332,126,,,5.0,6.6,10243.0
2342,126,,,5.2,7.2,10316.0
2352,129,,,5.4,7.1,10389.5
2362,125,,,5.4,5.8,10453.0
2372,123,,,6.4,5.4,10511.0
2382,121,,,6.4,6.7,10572.5
2392,125,,,5.4,7.0,10644.0
2402,130,,,5.8,7.3,10716.5
2412,132,,,6.0,7.7,10793.5
2422,133,,,6.2,7.2,10865.0
2432,133,,,6.4,6.9,10933.5
2442,136,,,7.0,7.0,11003.0
2452,136,,,7.8,7.0,11073.0
2462,135,,,8.2,7.4,11146.0
2472,135,,,7.6,8.3,11227.5
2482,131,,,7.4,8.2,11308.0
2492,136,,,7.2,8.1,11387.5
2502,138,,,7.2,8.1,11468.5
2512,138,,,7.6,7.8,11548.0
2522,136,,,8.0,7.1,11621.5
2532,132,,,8.8,6.6,11686.0
2542,134,,,8.6,6.7,11753.5
2552,131,,,9.6,6.4,11819.0
2562,137,,,10.4,6.5,11883.5
2572,138,,,11.2,6.4,11947.0
2582,139,,,11.8,6.3,12011.5
2592,139,,,12.4,6.3,12074.5
2602,136,,,13.4,6.5,12137.5
2612,135,,,13.6,6.3,12200.5
2622,134,,,14.4,6.3,12262.5
2632,132,,,15.2,5.1,12317.5
2642,122,,,16.2,3.0,12345.0
2659,113,,,16.4,1.236,12367.8
2669,121,,,16.6,4.6,12409.0
2679,110,,,17.2,2.545,12441.7
2697,115,,,17.6,0.687,12453.2
2707,107,,,17.4,4.7,12497.5
2717,117,,,17.6,6.8,12557.0
2727,128,,,16.8,7.7,12635.5
2737,132,,,17.8,6.4,12703.0
2747,133,,,18.4,7.0,12772.0
2757,138,,,18.8,6.7,12839.5
2767,140,,,19.4,6.5,12905.5
2777,139,,,20.4,6.4,12969.0
2787,132,,,21.2,6.1,13024.5
2797,133,,,21.8,6.3,13087.5
2807,133,,,22.2,6.3,13150.5
2817,134,,,22.6,6.6,13217.0
2827,136,,,23.4,6.7,13283.5
2837,136,,,24.2,6.5,13349.5
2847,136,,,25.0,6.8,13415.0
2857,136,,,25.8,6.9,13482.5
2867,136,,,26.2,6.4,13549.0
2877,133,,,27.2,6.5,13611.5
2887,133,,,27.6,6.5,13676.5
2897,136,,,28.0,6.5,13741.5
2907,138,,,28.8,6.6,13808.0
2917,141,,,29.0,7.0,13878.0
2927,144,,,29.8,6.9,13946.5
2937,145,,,31.2,6.5,14012.5
2947,141,,,31.8,6.7,14079.5
2957,142,,,31.8,6.8,14147.0
2967,138,,,32.8,6.7,14213.5
2977,138,,,33.2,6.5,14278.5
2987,138,,,33.8,6.5,14342.5
2997,138,,,34.6,6.2,14406.0
3007,140,,,35.6,6.0,14467.0
3017,142,,,36.2,6.0,14529.0
3027,141,,,37.0,6.3,14590.5
3037,140,,,37.2,6.0,14651.0
3047,139,,,38.2,6.0,14711.0
3057,137,,,39.2,6.1,14771.5
3067,139,,,39.6,6.5,14836.5
3077,139,,,40.0,6.4,14900.0
3087,138,,,40.8,5.8,14960.0
3097,139,,,41.8,6.4,15023.0
3107,138,,,42.8,6.2,15085.0
3117,135,,,43.4,5.8,15145.0
3127,136,,,44.6,6.4,15206.0
3137,135,,,45.2,6.2,15269.0
3147,137,,,45.2,6.5,15329.5
3157,139,,,46.0,6.5,15394.5
3167,138,,,46.8,6.4,15458.0
3177,138,,,47.2,6.0,15519.0
