time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,105,,,4.5,0.0,0.0
10,111,,,4.6,2.596,28.6
20,117,,,4.7,3.267,57.8
30,135,,,5.1,3.0,84.0
40,136,,,5.2,2.74,111.2
50,139,,,5.1,2.96,138.4
60,146,,,5.3,2.747,166.4
70,146,,,5.7,1.941,187.5
80,146,,,6.8,2.442,215.6
90,143,,,8.3,2.474,241.6
100,147,,,8.7,2.709,269.3
110,149,,,9.4,2.6,293.8
120,152,,,10.2,2.72,321.2
130,155,,,11.1,2.58,349.5
140,157,,,12.5,2.235,374.3
150,153,,,12.7,2.8,402.2
160,152,,,11.8,3.005,431.6
170,153,,,11.1,3.18,462.4
180,147,,,10.4,2.739,489.7
190,147,,,9.9,2.783,516.7
200,140,,,9.9,2.566,544.0
210,145,,,10.0,2.299,571.3
220,147,,,10.0,2.857,600.7
230,146,,,10.1,2.625,628.6
240,148,,,10.2,3.04,654.4
250,148,,,10.2,2.648,681.4
260,148,,,10.1,2.744,711.7
270,150,,,10.0,2.8,739.9
280,153,,,9.9,2.76,769.1
290,153,,,10.0,2.597,797.3
300,154,,,9.7,2.78,829.9
310,151,,,9.8,2.611,857.8
320,153,,,10.0,2.65,885.5
330,156,,,10.3,2.6,911.8
340,158,,,11.9,2.94,941.3
350,156,,,14.5,2.64,962.9
360,163,,,15.9,2.59,986.7
370,164,,,16.6,2.8,1012.5
380,165,,,17.1,2.998,1044.8
390,164,,,17.3,2.32,1069.5
400,161,,,17.0,2.654,1096.6
410,159,,,16.4,2.873,1124.1
420,154,,,15.7,3.011,1154.7
430,153,,,15.6,3.027,1183.4
440,158,,,15.3,3.36,1214.8
450,155,,,15.2,2.753,1243.2
460,152,,,15.6,2.876,1272.8
470,156,,,16.5,2.62,1299.5
480,157,,,16.9,2.72,1323.5
490,159,,,16.4,2.535,1349.2
500,158,,,15.4,2.96,1377.5
510,158,,,14.4,2.803,1407.3
520,160,,,13.7,2.858,1436.0
530,155,,,13.4,2.758,1463.8
540,152,,,13.2,2.616,1490.5
550,151,,,13.3,2.62,1516.7
560,153,,,14.0,2.78,1543.5
570,152,,,15.0,2.441,1568.2
580,157,,,16.0,2.623,1594.6
590,159,,,16.3,2.665,1620.8
600,158,,,15.9,2.66,1647.4
610,158,,,15.7,2.498,1670.7
620,155,,,16.0,2.953,1698.6
630,152,,,17.0,2.657,1727.6
640,156,,,17.7,2.316,1751.8
699,138,,,17.7,0.0,1762.1
709,132,,,17.3,2.714,1788.2
719,126,,,16.9,3.101,1818.2
729,137,,,16.3,3.0,1844.5
739,140,,,15.7,2.846,1875.4
749,142,,,15.3,3.132,1908.1
759,147,,,15.1,2.97,1938.4
769,149,,,14.9,2.88,1967.8
779,148,,,14.7,3.1,1998.9
789,152,,,14.7,3.029,2028.1
799,152,,,14.2,2.976,2058.1
809,155,,,13.5,3.06,2088.5
819,154,,,13.6,2.933,2117.5
829,152,,,13.8,2.798,2145.6
839,155,,,13.2,2.88,2174.8
849,155,,,12.5,2.287,2200.5
859,152,,,12.0,2.888,2230.1
869,148,,,12.1,2.813,2258.1
879,150,,,12.3,2.541,2284.5
889,148,,,12.1,2.637,2310.6
899,151,,,11.9,2.78,2339.6
