time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,83,,,29.1,0.0,1.4
11,99,,,29.2,3.74,33.7
22,107,,,29.4,4.64,83.3
30,114,,,29.6,5.48,125.7
42,109,,,29.8,2.557,166.6
53,114,,,31.1,3.755,207.9
62,122,,,32.4,4.84,251.4
70,126,,,33.6,5.3,293.8
80,132,,,34.5,5.05,345.2
91,129,,,35.1,4.83,398.8
100,126,,,35.3,1.351,415.1
121,110,,,35.3,0.08,416.0
131,112,,,35.0,6.62,472.7
143,115,,,34.9,6.925,555.8
152,118,,,34.9,5.943,610.1
160,117,,,34.8,6.575,662.7
170,118,,,32.7,7.3,735.7
180,121,,,29.2,8.43,820.0
190,99,,,26.4,10.367,920.3
204,97,,,19.8,10.573,1066.2
210,96,,,15.7,9.333,1122.2
223,92,,,13.1,2.317,1174.5
234,99,,,12.7,5.767,1230.2
245,104,,,12.8,5.278,1289.7
250,108,,,12.6,4.664,1316.2
266,111,,,11.1,6.642,1419.1
270,114,,,10.7,6.864,1446.7
283,107,,,8.0,8.483,1550.4
290,95,,,8.6,7.767,1605.3
300,109,,,8.3,7.033,1673.9
313,105,,,7.3,7.467,1771.4
320,102,,,6.9,7.1,1821.2
330,106,,,6.0,7.5,1894.9
341,109,,,5.0,7.591,1978.4
351,108,,,4.3,8.367,2061.2
362,115,,,5.7,6.957,2142.1
370,121,,,5.3,7.038,2198.4
383,121,,,4.9,7.631,2297.6
393,123,,,5.9,7.043,2371.4
404,125,,,5.8,7.173,2450.3
411,122,,,6.2,6.771,2497.7
420,126,,,7.6,6.6,2557.1
431,131,,,8.8,6.2,2626.7
442,135,,,8.3,6.47,2697.5
450,135,,,8.5,6.962,2753.2
466,134,,,11.5,5.74,2851.4
471,132,,,12.3,4.54,2874.1
481,132,,,12.6,5.322,2926.5
490,132,,,10.4,6.16,2981.1
500,129,,,6.5,10.663,3083.5
510,125,,,8.0,8.0,3169.7
521,132,,,10.7,6.367,3243.6
530,139,,,12.1,6.0,3299.1
540,144,,,15.3,7.133,3370.4
553,152,,,18.6,4.867,3436.9
561,152,,,18.0,5.387,3480.0
571,147,,,14.2,7.58,3550.2
583,143,,,12.8,8.355,3650.8
591,135,,,12.6,8.5,3718.3
604,131,,,8.8,9.645,3840.7
610,130,,,10.9,8.717,3893.0
623,134,,,13.0,6.64,3979.6
631,139,,,14.6,6.671,4033.4
642,141,,,16.8,5.173,4090.3
656,143,,,16.5,7.35,4189.7
665,143,,,16.7,7.525,4256.1
671,143,,,16.5,7.413,4300.9
683,143,,,14.4,8.162,4396.4
690,140,,,16.4,8.514,4456.0
702,138,,,16.3,6.633,4537.9
710,131,,,11.7,8.7,4604.6
723,124,,,10.9,7.967,4724.1
732,117,,,10.1,8.057,4797.7
742,127,,,9.7,9.58,4887.6
753,129,,,9.9,6.818,4962.6
760,132,,,10.6,7.471,5014.2
770,137,,,12.8,6.438,5080.0
780,142,,,14.5,6.59,5145.9
796,138,,,12.1,8.189,5266.9
802,134,,,11.3,8.867,5320.1
810,132,,,11.2,8.317,5385.4
822,127,,,10.7,7.925,5480.4
833,136,,,12.8,7.617,5571.1
840,136,,,12.2,7.233,5620.4
851,137,,,8.7,9.082,5720.3
860,139,,,7.2,9.822,5808.7
870,139,,,7.2,8.6,5897.8
881,139,,,7.7,7.188,5977.8
892,130,,,8.4,6.84,6053.2
902,134,,,9.3,6.887,6122.2
911,133,,,9.9,6.911,6184.4
