time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,72,,,22.9,0.0,0.0
11,84,,,22.5,3.25,19.5
20,103,,,20.7,7.6,80.6
31,111,,,22.5,5.944,148.9
40,122,,,25.5,4.643,191.8
54,128,,,28.9,2.625,229.4
60,130,,,29.8,2.915,248.1
74,133,,,29.6,4.564,312.0
80,134,,,28.3,5.769,350.8
93,134,,,22.5,8.815,465.4
103,129,,,20.3,11.383,575.6
113,128,,,24.0,8.82,663.8
124,131,,,26.7,5.473,724.0
132,132,,,26.9,5.171,765.2
143,134,,,28.1,6.5,836.7
155,136,,,30.4,5.242,899.6
160,136,,,30.8,5.1,925.1
170,140,,,29.7,7.517,997.7
186,141,,,31.4,7.337,1115.1
194,143,,,34.9,5.283,1160.1
200,145,,,36.1,4.664,1185.1
217,150,,,40.5,4.435,1260.5
224,151,,,42.4,3.837,1281.8
232,153,,,44.8,3.08,1306.7
246,154,,,48.0,2.636,1343.6
255,154,,,49.6,2.835,1371.5
262,153,,,51.0,3.013,1391.8
274,155,,,53.9,2.783,1425.2
280,154,,,55.3,2.8,1442.1
295,154,,,58.6,3.347,1492.3
305,153,,,59.6,3.571,1529.1
313,151,,,60.0,3.722,1559.3
326,150,,,60.2,4.885,1622.8
330,150,,,60.1,5.4,1646.2
346,147,,,59.4,7.143,1757.6
352,145,,,58.6,7.562,1803.4
362,142,,,55.4,10.017,1897.0
373,138,,,53.4,9.32,2000.3
380,134,,,49.2,9.933,2071.4
393,137,,,39.5,13.583,2242.3
400,136,,,33.7,13.871,2339.4
411,142,,,35.8,11.333,2474.2
422,142,,,36.5,8.936,2572.5
436,146,,,36.8,7.764,2681.2
446,148,,,36.5,7.47,2755.9
454,148,,,36.1,7.671,2819.2
461,149,,,36.8,7.907,2874.5
476,148,,,39.3,6.343,2970.9
484,149,,,41.0,5.833,3016.4
490,150,,,43.2,5.579,3049.0
500,154,,,47.2,3.97,3088.7
513,160,,,50.8,3.586,3131.5
521,162,,,52.8,3.677,3160.3
531,167,,,55.6,2.93,3189.6
546,172,,,59.7,2.985,3233.9
554,170,,,61.5,3.5,3264.3
563,169,,,62.8,3.912,3300.4
571,166,,,63.5,4.2,3335.7
590,164,,,65.1,5.111,3432.8
604,157,,,66.5,5.563,3510.8
613,156,,,65.8,6.678,3570.9
625,150,,,62.4,8.45,3672.3
630,147,,,60.2,10.32,3723.9
640,144,,,59.1,10.02,3827.8
650,146,,,58.6,9.837,3927.2
662,144,,,55.3,10.083,4048.2
670,144,,,54.6,10.325,4130.8
680,146,,,53.2,9.88,4229.6
696,147,,,50.5,9.956,4391.4
701,147,,,48.8,9.825,4440.0
710,145,,,44.8,11.544,4543.9
720,145,,,35.5,14.22,4675.4
733,147,,,31.7,11.314,4853.7
740,148,,,32.8,10.843,4929.6
751,148,,,36.0,7.564,5012.8
763,146,,,39.0,4.817,5070.6
772,147,,,39.3,4.82,5105.4
782,153,,,39.8,5.944,5163.2
792,154,,,40.9,5.73,5220.5
805,156,,,42.6,5.977,5298.2
810,158,,,44.3,5.8,5323.6
824,160,,,48.7,3.421,5371.5
832,163,,,50.1,3.55,5403.5
844,165,,,49.4,5.833,5473.5
850,166,,,50.1,6.783,5515.8
862,167,,,54.0,4.46,5578.4
874,166,,,57.4,3.95,5625.8
880,166,,,58.8,3.823,5647.5
896,168,,,60.9,4.275,5715.9
