time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,99,,55,3.0,0.0,0.0
10,105,,76,3.1,2.088,21.5
22,116,,77,3.1,2.643,52.3
32,123,,75,3.1,2.386,77.3
40,123,,75,3.2,3.071,102.3
56,131,,74,3.4,2.533,143.4
61,134,,76,3.4,2.492,155.5
72,135,,76,3.5,2.455,182.5
80,135,,74,3.5,2.417,201.8
94,137,,75,3.6,2.443,236.0
101,137,,77,3.6,2.521,254.0
110,136,,76,3.7,2.744,278.7
120,139,,77,3.8,2.64,305.1
134,139,,76,3.9,2.457,343.5
140,136,,75,4.0,2.933,361.1
152,138,,74,4.2,2.225,388.8
166,141,,76,4.2,2.393,422.3
173,141,,77,4.2,2.521,440.4
185,140,,76,4.1,2.567,471.2
192,139,,77,4.2,2.2,487.0
205,139,,77,4.1,2.285,516.7
212,139,,74,4.0,2.292,534.4
220,142,,76,4.0,2.587,555.5
231,142,,77,3.9,2.845,586.8
246,144,,76,3.7,2.6,625.2
254,142,,77,3.6,2.5,643.8
267,141,,76,4.0,2.685,678.7
272,144,,78,4.0,2.5,689.5
285,141,,76,4.3,2.577,723.0
293,141,,75,4.1,2.338,741.7
303,141,,77,4.1,2.27,764.4
311,143,,76,4.5,2.825,787.0
325,141,,77,4.8,2.636,823.9
333,143,,74,4.9,2.5,844.6
343,143,,76,4.9,2.77,872.3
352,144,,77,4.9,2.689,896.5
360,142,,77,4.9,2.617,917.8
377,141,,77,4.9,2.62,962.0
387,142,,75,4.5,2.68,988.8
392,143,,77,3.8,2.646,1001.5
400,143,,77,5.1,2.608,1022.7
410,146,,78,5.3,2.49,1047.6
423,146,,77,5.2,2.5,1081.8
432,149,,76,4.9,2.7,1106.1
443,151,,75,4.5,2.533,1133.9
455,152,,77,4.2,2.537,1164.8
463,150,,77,4.0,2.56,1185.3
470,142,,77,3.8,2.471,1202.6
483,142,,77,4.0,2.65,1236.3
491,145,,77,4.0,2.642,1256.9
502,145,,76,4.1,2.545,1284.9
511,144,,77,4.1,2.525,1307.2
527,144,,78,4.1,2.707,1350.5
536,146,,77,4.1,2.711,1374.9
546,149,,76,4.2,2.46,1399.5
556,150,,77,4.2,2.61,1425.6
566,152,,78,4.2,2.52,1450.8
574,150,,77,4.2,2.593,1472.4
586,149,,77,4.0,2.433,1501.6
594,146,,77,3.4,2.481,1522.0
601,149,,76,3.6,2.573,1540.2
613,143,,76,3.5,2.518,1570.5
621,143,,77,3.5,2.594,1592.1
632,144,,77,3.6,2.591,1620.6
640,145,,77,3.7,2.581,1640.7
657,144,,77,3.8,2.353,1680.7
666,142,,78,3.9,2.611,1704.2
675,144,,78,4.0,2.578,1727.4
685,146,,77,4.2,2.55,1752.9
690,149,,77,4.3,2.525,1765.4
704,149,,77,4.4,2.443,1799.6
712,147,,75,4.5,2.544,1820.1
720,149,,77,4.4,2.263,1838.2
736,151,,76,4.3,2.662,1880.8
745,153,,74,4.4,2.433,1902.7
753,152,,78,4.5,2.531,1923.3
764,152,,77,4.2,2.611,1952.1
774,152,,75,3.5,2.43,1976.4
783,151,,77,2.8,2.489,1998.8
793,151,,77,2.1,2.51,2023.9
803,151,,76,2.1,1.99,2043.8
810,148,,77,2.2,2.858,2065.7
822,152,,76,3.2,2.533,2095.9
834,151,,78,4.0,2.283,2123.3
840,148,,78,4.3,2.433,2137.9
858,142,,77,4.6,2.4,2180.9
867,142,,74,4.5,2.406,2202.7
877,142,,76,4.4,2.42,2226.9
880,139,,77,4.4,2.367,2234.0
892,137,,77,4.4,2.583,2265.0
902,140,,78,4.4,2.42,2289.2
911,140,,77,4.4,2.467,2311.4
920,138,,75,4.4,2.556,2334.4
934,142,,77,4.3,2.391,2367.9
940,140,,78,4.3,2.636,2383.4
958,142,,78,4.2,2.491,2428.0
960,143,,78,4.2,2.445,2433.0
977,145,,78,4.2,2.506,2475.6
987,144,,76,4.3,2.46,2500.2
994,144,,77,4.4,2.52,2518.4
1000,144,,77,4.3,2.531,2533.1
1015,138,,78,4.3,2.564,2571.4
1024,139,,78,4.3,2.418,2592.9
