time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,108,,58,3.7,0.0,1.3
10,120,,73,3.7,2.5,25.7
20,132,,76,3.7,2.5,52.8
30,135,,75,3.9,2.378,77.2
54,109,,0,3.9,0.047,84.2
60,121,,71,4.2,2.32,96.7
70,137,,75,5.5,2.7,124.1
80,144,,75,6.5,2.05,146.2
97,148,,77,7.2,2.567,189.9
104,148,,77,6.6,2.314,206.1
112,149,,77,6.0,2.275,224.3
120,150,,77,5.1,2.636,246.9
130,146,,77,4.3,2.617,275.2
144,146,,77,3.7,3.933,320.9
150,147,,78,3.6,2.833,334.0
163,148,,79,3.4,3.085,374.1
171,147,,77,3.3,3.075,398.7
180,147,,78,3.3,2.689,422.9
190,151,,75,3.4,2.95,452.4
200,152,,79,3.5,2.86,481.0
211,154,,78,3.4,2.9,512.9
222,153,,77,3.6,2.682,542.4
233,154,,78,3.9,3.245,578.1
240,151,,77,4.1,2.7,593.0
250,154,,78,4.4,2.85,621.5
260,158,,79,5.5,2.87,650.2
271,156,,76,7.1,2.545,678.2
283,152,,0,7.1,0.373,684.5
291,149,,72,7.2,0.263,686.6
300,153,,77,7.3,2.578,709.8
310,156,,78,7.9,2.8,737.8
320,157,,80,8.9,2.956,767.3
334,161,,77,9.7,2.783,807.0
346,160,,77,9.4,2.642,838.7
355,156,,78,8.8,2.611,862.2
363,154,,77,8.0,2.662,883.5
370,153,,79,7.2,2.75,903.5
380,152,,77,6.2,2.95,933.0
392,148,,78,4.9,3.19,971.5
402,152,,78,4.4,2.67,998.2
410,150,,80,4.2,3.075,1022.8
424,154,,78,4.1,2.921,1063.7
431,153,,78,4.0,2.764,1082.5
441,153,,77,3.9,2.8,1110.5
451,154,,78,3.8,2.68,1137.3
460,154,,78,3.7,2.622,1160.9
474,153,,78,3.8,2.879,1201.2
483,155,,78,3.9,2.733,1225.8
491,154,,78,4.0,2.813,1248.3
501,157,,79,4.1,2.76,1275.9
510,161,,79,4.1,2.833,1301.4
520,158,,77,4.2,2.73,1328.7
536,157,,80,4.2,2.581,1370.0
542,155,,80,4.2,2.586,1386.9
551,156,,78,4.2,2.833,1412.4
563,159,,77,4.3,2.9,1447.2
573,154,,77,4.3,2.74,1474.6
