time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,120,,75,4.2,0.0,3.0
10,130,,77,4.2,2.5,30.1
20,130,,75,4.0,2.14,51.5
31,140,,76,3.8,3.24,84.2
41,148,,77,3.6,2.912,113.2
56,150,,76,3.3,2.944,159.8
62,149,,78,3.3,3.092,179.9
70,153,,79,3.0,2.863,202.8
81,153,,76,2.9,3.49,240.0
93,154,,77,2.9,2.875,274.5
103,156,,77,2.9,2.9,303.5
113,157,,75,2.9,2.34,326.9
121,157,,77,3.1,2.463,347.6
134,157,,74,3.1,2.623,381.7
142,157,,75,3.1,2.506,400.5
150,157,,77,3.2,2.481,421.4
162,159,,76,3.6,2.7,454.0
170,159,,78,3.7,2.582,474.8
185,160,,76,3.9,2.54,512.9
195,159,,76,3.8,2.59,538.8
204,161,,77,3.7,2.678,562.9
211,160,,76,3.6,2.779,583.0
221,159,,75,3.4,2.81,611.1
237,160,,77,3.3,2.625,653.1
240,159,,76,3.4,2.609,661.2
251,161,,78,3.4,2.764,691.6
261,160,,78,3.4,2.85,720.1
271,160,,74,3.4,2.67,746.8
280,160,,77,3.5,2.711,771.2
297,160,,76,3.9,2.689,817.4
300,160,,77,4.0,2.682,825.4
313,163,,77,4.5,2.646,859.8
321,163,,76,5.1,2.662,881.2
331,163,,77,6.4,2.54,906.6
340,162,,0,7.1,1.533,920.4
350,160,,77,7.3,2.26,943.0
360,163,,76,7.4,2.83,971.3
375,163,,78,8.4,2.707,1011.9
386,165,,77,9.1,2.709,1041.7
394,164,,78,9.4,2.694,1063.1
407,162,,76,8.8,2.669,1097.8
410,162,,75,8.5,2.582,1105.5
420,160,,78,7.3,2.63,1131.8
431,157,,77,6.2,2.6,1160.4
440,155,,77,5.4,2.7,1184.7
453,153,,78,4.4,2.754,1220.5
462,154,,78,4.0,2.7,1244.8
473,154,,78,3.7,2.709,1274.6
483,152,,78,3.5,2.57,1300.3
491,156,,77,3.4,2.863,1323.2
505,155,,79,3.3,2.671,1360.6
513,155,,79,3.3,2.663,1381.9
521,157,,79,3.3,2.673,1403.4
534,156,,77,3.2,2.731,1438.9
545,155,,79,3.4,2.718,1468.8
555,156,,79,3.5,2.62,1495.0
564,158,,77,3.5,2.678,1519.1
575,157,,77,3.6,2.573,1547.4
583,157,,78,3.6,2.606,1568.4
593,155,,78,3.7,2.53,1593.7
601,155,,77,3.7,2.594,1615.1
611,156,,79,3.7,2.87,1643.8
626,157,,78,3.6,2.707,1684.4
634,156,,79,3.6,2.631,1705.0
642,157,,78,3.6,2.637,1726.6
650,158,,81,3.6,2.719,1748.5
662,159,,77,3.5,2.573,1779.6
670,159,,78,3.5,2.682,1801.2
681,160,,78,3.4,2.655,1830.4
690,158,,79,3.4,2.722,1854.9
702,155,,78,3.3,2.675,1887.0
712,158,,78,3.3,2.75,1914.5
720,156,,78,3.3,2.769,1936.7
737,155,,78,3.4,2.75,1983.5
744,157,,78,3.4,2.72,2002.3
751,160,,78,3.4,2.607,2020.0
760,158,,78,3.3,2.644,2043.8
777,157,,79,3.2,2.656,2090.2
787,156,,79,3.2,2.75,2117.7
795,158,,79,3.3,2.788,2140.0
803,159,,79,3.3,2.767,2162.1
812,159,,80,3.4,2.778,2187.1
822,158,,79,3.4,2.71,2214.2
831,160,,79,3.3,2.733,2238.8
840,160,,79,3.4,2.811,2264.1
855,161,,79,3.4,2.733,2305.1
863,163,,80,3.5,2.762,2327.2
872,164,,80,3.4,2.722,2351.7
885,164,,79,3.3,2.815,2388.3
896,163,,80,3.4,2.818,2419.3
904,162,,79,3.6,2.793,2441.4
912,162,,79,4.0,2.719,2462.8
920,162,,79,4.3,2.775,2485.8
933,157,,0,4.3,0.4,2496.9
941,152,,0,4.3,0.0,2496.9
956,145,,0,4.3,0.0,2496.9
960,138,,0,4.3,0.0,2496.9
970,135,,78,4.3,1.75,2507.4
981,136,,80,3.8,3.225,2543.9
990,145,,80,3.4,2.8,2569.4
1001,148,,80,3.1,2.791,2600.1
1010,150,,81,3.0,2.789,2625.2
1021,151,,81,2.9,2.809,2656.1
1032,153,,79,2.8,2.891,2687.9
1040,155,,79,2.8,2.833,2710.3
1057,161,,80,2.8,2.791,2758.3
1065,161,,80,2.7,2.925,2781.7
1075,160,,80,2.8,2.66,2808.3
1083,161,,80,2.8,2.587,2829.0
1090,164,,79,2.8,2.764,2848.9
1104,163,,78,2.8,2.8,2888.1
1112,164,,79,2.8,2.707,2909.4
1121,162,,79,2.7,2.8,2934.6
1137,159,,81,2.7,2.733,2978.5
1144,158,,81,2.7,2.727,2998.1
1150,161,,81,2.7,2.738,3014.1
1162,163,,81,2.8,2.742,3047.0
1172,161,,78,2.8,2.68,3073.8
1181,161,,80,2.8,2.656,3097.7
1190,164,,80,2.8,2.833,3123.2
1203,162,,80,2.7,2.692,3158.2
1212,164,,79,2.8,2.767,3183.1
1220,163,,81,2.9,2.863,3206.0
1232,168,,81,2.9,2.817,3239.8
1243,170,,81,2.9,2.882,3271.5
1255,170,,80,2.8,2.733,3304.3
1263,169,,79,2.7,2.887,3327.4
1273,168,,79,2.7,2.82,3355.6
1283,167,,78,2.7,2.63,3381.9
1294,164,,78,2.7,2.436,3408.7
1302,164,,78,2.7,2.512,3429.4
1311,161,,79,2.7,2.55,3452.3
1326,166,,79,2.7,2.627,3491.3
1334,165,,79,2.8,2.607,3512.3
1342,165,,79,3.0,2.65,3533.5
1350,165,,78,3.2,2.707,3555.4
1361,166,,79,3.5,2.644,3584.4
1370,166,,78,3.7,2.722,3608.9
1384,165,,80,4.0,2.636,3645.8
1395,165,,79,4.0,2.809,3676.7
1406,167,,78,3.9,2.664,3706.0
1414,168,,78,3.8,2.775,3728.9
1424,167,,78,3.5,2.69,3755.8
1435,167,,79,2.7,2.509,3783.4
1444,165,,77,1.8,2.667,3807.4
1450,165,,80,1.7,0.883,3812.7
1461,163,,79,1.7,2.678,3842.1
1473,164,,80,2.6,3.02,3878.3
1480,166,,80,3.0,3.471,3902.6
1490,168,,79,3.1,2.95,3932.1
1506,167,,79,2.9,2.946,3978.9
1516,168,,79,2.8,2.94,4008.3
1526,165,,79,2.8,2.7,4035.3
1534,164,,79,2.8,2.694,4056.6
1544,165,,80,2.8,2.7,4083.6
1552,165,,79,2.9,2.75,4106.1
1563,166,,80,2.9,2.818,4137.1
1572,168,,80,2.9,2.556,4160.1
1580,168,,80,2.9,2.688,4182.9
1591,167,,78,2.8,2.727,4212.9
1602,167,,79,2.8,2.645,4242.0
1610,167,,80,2.8,2.669,4264.0
1620,164,,79,2.9,2.66,4290.6
1635,167,,81,3.0,2.907,4334.2
1642,168,,80,3.0,2.964,4355.3
1652,169,,81,2.9,2.71,4382.4
1662,168,,81,2.9,2.71,4409.5
1675,168,,79,2.8,2.669,4444.2
1684,168,,80,2.7,2.644,4468.0
1693,170,,80,2.7,2.611,4491.5
1704,169,,81,2.8,2.609,4520.2
1711,168,,81,2.9,2.72,4540.2
1722,166,,80,3.0,2.473,4567.4
1730,165,,79,3.2,2.433,4587.1
1744,169,,80,3.6,2.357,4620.1
1750,169,,81,3.9,2.664,4636.3
1764,170,,81,4.7,3.007,4678.4
1771,171,,81,5.0,2.867,4698.8
1787,173,,79,4.7,2.669,4741.5
1790,173,,79,4.6,2.655,4749.5
1807,170,,81,4.7,2.6,4795.0
1813,168,,0,4.7,0.267,4796.6
1821,165,,0,4.7,0.069,4796.7
1830,155,,0,4.7,0.0,4796.7
1840,153,,0,4.7,0.013,4796.8
1851,143,,0,4.7,0.017,4796.9
1861,136,,0,4.7,0.01,4797.0
1870,127,,0,4.7,0.0,4797.0
1885,130,,0,4.7,0.006,4797.1
1899,133,,0,4.7,0.007,4797.2
1906,134,,77,4.7,0.31,4803.6
1910,131,,79,4.6,1.827,4817.3
1922,145,,81,4.7,2.92,4854.8
1930,153,,79,5.0,2.76,4877.9
1940,160,,79,4.8,2.9,4906.3
1953,162,,79,4.1,3.025,4944.2
1961,162,,80,3.6,2.754,4965.9
1970,160,,80,3.1,2.544,4988.8
1985,163,,81,2.8,2.907,5032.4
1992,163,,77,2.8,2.843,5052.3
2002,163,,80,2.7,2.643,5075.8
2016,164,,80,2.7,2.893,5116.3
2024,167,,80,2.8,2.663,5137.6
2031,168,,81,2.8,2.707,5156.3
2047,169,,80,2.8,2.837,5201.7
2056,167,,81,2.8,2.4,5223.3
2064,167,,78,2.8,2.594,5245.5
2072,168,,81,2.8,2.837,5268.2
2082,170,,80,2.8,2.83,5296.5
2096,168,,80,2.8,2.736,5334.8
2105,167,,80,2.8,2.622,5358.4
2114,167,,79,2.8,2.733,5383.0
2122,168,,80,2.9,2.7,5404.6
2130,166,,80,2.9,2.738,5426.8
2140,165,,80,2.9,2.64,5453.2
2151,165,,80,2.9,2.718,5483.1
2162,167,,80,2.8,2.682,5512.6
2170,166,,82,2.8,2.718,5534.4
2183,164,,79,2.8,2.65,5569.0
2191,165,,80,2.8,2.667,5590.9
2206,166,,81,3.0,2.679,5630.8
2213,168,,81,3.0,2.543,5648.6
2220,169,,81,3.1,2.715,5668.2
2230,171,,80,2.9,2.75,5695.7
2241,172,,80,2.3,2.809,5726.6
2254,171,,81,1.5,2.969,5765.2
2262,171,,81,1.9,2.962,5787.7
2271,174,,81,2.8,2.433,5809.6
2282,174,,81,3.6,2.718,5839.5
2290,174,,81,3.8,2.618,5860.0
2301,174,,80,3.9,2.67,5889.9
2312,174,,80,4.0,2.709,5919.7
2320,173,,79,4.0,2.655,5940.6
2333,171,,80,3.7,2.677,5975.4
2341,171,,80,3.5,2.662,5996.5
2353,167,,79,3.3,2.642,6028.2
2362,167,,80,3.0,2.733,6052.8
2373,166,,80,2.8,2.791,6083.5
2383,168,,80,2.7,2.69,6110.4
2392,168,,81,2.7,2.578,6133.6
2401,167,,81,2.7,2.833,6159.1
2410,168,,81,2.7,2.622,6182.7
2422,170,,81,2.7,2.758,6215.8
2436,169,,82,2.7,2.65,6252.9
2442,169,,81,2.8,2.614,6268.3
2451,168,,81,2.9,2.533,6290.9
2460,168,,81,2.9,2.787,6315.9
2476,171,,81,2.9,2.681,6358.8
2484,171,,80,2.9,2.663,6380.0
2494,168,,81,2.8,2.82,6408.2
2503,169,,81,2.7,3.078,6435.9
2517,171,,81,2.8,2.507,6471.0
2521,170,,81,2.8,2.708,6481.7
2531,172,,81,2.8,2.58,6507.5
2541,173,,82,2.8,2.63,6533.8
2554,173,,81,2.7,2.769,6569.8
2562,172,,82,2.7,2.738,6591.3
2571,170,,80,2.7,2.622,6614.9
2580,170,,81,2.7,2.6,6638.3
2590,169,,81,2.8,2.67,6665.0
2600,169,,81,2.8,2.77,6692.7
2612,171,,81,2.8,2.711,6726.0
2620,171,,81,2.8,2.76,6748.4
2632,170,,81,2.8,2.783,6781.8
2641,169,,81,2.7,2.778,6806.8
2657,168,,80,2.8,2.662,6849.4
2664,168,,81,2.8,2.74,6869.4
2672,169,,81,2.8,2.863,6892.3
2683,169,,82,2.9,2.764,6922.7
2692,169,,82,2.9,2.856,6948.4
