time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,95,,,22.2,0.0,0.0
12,101,,,22.4,3.029,22.0
23,112,,,22.7,3.514,57.4
30,112,,,22.8,1.586,68.5
40,116,,,22.7,1.23,80.8
52,121,,,21.5,6.317,156.0
60,112,,,21.8,1.067,171.2
96,97,,,22.0,0.01,171.2
100,111,,,22.5,0.353,185.3
114,124,,,25.3,3.65,236.6
122,133,,,28.4,2.74,261.1
138,146,,,30.5,3.417,315.3
144,147,,,30.5,3.927,342.9
151,149,,,29.8,5.046,380.9
163,149,,,26.3,7.542,471.4
172,146,,,21.2,9.989,561.3
181,139,,,21.0,9.54,652.3
191,135,,,24.3,6.167,716.7
204,136,,,26.9,3.708,765.8
210,140,,,27.5,3.683,787.9
223,136,,,27.1,5.138,854.7
233,137,,,29.5,5.68,911.5
244,140,,,31.0,4.527,961.3
250,138,,,30.6,5.117,992.0
262,137,,,30.0,7.02,1075.4
270,137,,,30.7,6.487,1127.3
280,136,,,32.0,5.32,1182.6
294,139,,,35.4,2.973,1228.9
303,143,,,36.5,2.722,1253.4
311,147,,,37.3,3.0,1277.4
322,146,,,39.2,2.775,1306.5
336,148,,,42.1,2.436,1340.6
340,150,,,43.0,2.382,1350.5
356,153,,,46.4,2.294,1387.2
365,154,,,47.9,2.394,1409.7
373,157,,,48.6,2.506,1429.8
383,156,,,50.9,2.34,1453.2
392,155,,,53.2,2.412,1475.5
406,156,,,56.4,2.543,1511.1
412,156,,,57.5,2.6,1526.6
428,153,,,59.6,2.513,1566.8
442,151,,,60.5,2.871,1609.7
450,147,,,60.8,3.8,1640.1
462,144,,,60.7,4.667,1696.1
474,136,,,60.2,5.557,1760.1
482,135,,,60.0,5.938,1809.4
491,134,,,59.1,5.978,1863.2
500,134,,,55.8,8.0,1935.2
512,135,,,54.9,7.49,2025.9
520,132,,,52.8,7.42,2085.8
530,132,,,46.4,9.7,2178.4
544,130,,,37.4,11.427,2336.2
550,129,,,33.4,12.1,2411.6
560,133,,,35.8,9.486,2514.3
572,137,,,36.7,5.438,2587.0
580,136,,,37.3,5.207,2627.2
596,139,,,37.6,4.794,2703.9
