time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,108,,,128.8,0.0,0.0
10,117,,,129.2,3.4,29.0
20,129,,,129.6,4.2,71.0
30,135,,,130.8,3.7,108.5
40,141,,,132.6,3.1,140.5
50,145,,,134.6,3.8,177.0
60,147,,,134.6,4.5,220.5
70,145,,,135.0,4.7,268.5
80,142,,,135.6,4.4,313.0
90,144,,,137.2,3.5,350.5
100,147,,,138.6,4.0,390.0
110,146,,,139.6,3.8,429.0
120,143,,,141.0,3.6,466.0
130,146,,,142.4,4.1,506.5
140,146,,,142.6,5.5,557.5
150,144,,,142.6,5.0,608.0
160,140,,,143.6,5.0,657.0
170,142,,,144.0,5.7,709.5
180,138,,,142.0,8.0,783.0
190,135,,,140.6,7.8,862.0
200,132,,,140.8,6.3,930.5
210,138,,,142.4,5.6,985.0
220,142,,,143.6,5.4,1038.0
230,143,,,143.2,6.9,1102.5
240,139,,,141.4,8.3,1178.5
250,131,,,133.8,12.2,1295.0
260,129,,,129.4,11.4,1412.0
270,133,,,128.4,9.3,1510.5
280,137,,,129.8,6.5,1583.5
290,142,,,132.8,3.5,1624.5
300,148,,,135.6,4.2,1663.0
310,149,,,133.8,7.5,1730.5
320,152,,,134.0,4.5,1787.5
330,151,,,137.2,2.3,1814.5
340,156,,,140.2,2.8,1842.0
350,158,,,142.6,2.7,1868.5
360,160,,,144.4,2.7,1895.5
370,162,,,146.0,2.8,1924.0
380,160,,,148.0,2.8,1952.0
390,159,,,149.6,3.2,1983.0
400,157,,,151.2,3.6,2018.0
410,155,,,149.4,7.6,2082.0
420,146,,,146.4,8.1,2164.5
430,138,,,143.0,10.0,2260.0
440,134,,,141.6,8.4,2350.0
450,137,,,141.4,8.3,2431.5
460,134,,,140.0,7.9,2513.5
470,134,,,134.8,11.7,2621.5
480,133,,,132.0,10.3,2725.5
490,132,,,123.4,13.8,2858.0
500,134,,,120.6,10.3,2970.5
510,137,,,122.8,7.0,3049.0
520,136,,,124.6,5.6,3105.0
530,133,,,125.0,4.7,3153.5
540,136,,,126.4,4.3,3196.5
550,137,,,126.6,5.4,3246.0
560,136,,,125.8,5.9,3305.5
570,133,,,125.6,6.4,3368.0
580,134,,,126.0,6.0,3428.0
590,136,,,126.6,5.4,3482.0
600,146,,,128.6,3.7,3523.5
610,146,,,128.8,6.9,3583.5
620,149,,,128.6,5.9,3644.5
630,146,,,125.6,9.7,3729.5
640,142,,,124.4,7.6,3810.0
650,141,,,125.0,7.0,3881.0
660,141,,,126.6,4.9,3934.5
670,145,,,128.6,4.6,3980.0
680,147,,,129.4,4.8,4028.0
690,149,,,130.2,5.5,4082.5
700,145,,,130.2,6.0,4140.0
710,142,,,129.8,6.5,4203.5
720,141,,,129.6,6.0,4265.0
730,137,,,129.6,6.2,4327.0
740,137,,,130.2,6.3,4388.5
750,137,,,129.2,6.7,4456.5
760,132,,,129.8,5.2,4513.0
770,135,,,131.8,2.9,4546.5
780,140,,,134.4,2.8,4575.0
790,142,,,135.6,3.8,4610.0
800,147,,,136.6,3.4,4646.0
810,149,,,138.8,3.0,4676.0
820,151,,,140.6,4.5,4713.5
830,151,,,134.6,12.0,4814.0
840,142,,,127.2,10.4,4929.0
850,142,,,131.2,3.3,4980.5
860,146,,,135.2,3.7,5013.5
870,144,,,133.0,9.2,5091.0
880,138,,,128.0,10.0,5191.0
890,139,,,127.0,7.5,5274.5
900,137,,,128.2,7.6,5346.0
910,133,,,124.2,9.5,5436.5
920,130,,,123.0,7.7,5520.5
930,133,,,124.6,5.1,5578.5
940,140,,,126.6,4.3,5623.5
950,144,,,128.6,3.3,5660.5
960,147,,,131.2,2.1,5682.5
970,150,,,133.2,1.8,5700.0
980,151,,,135.2,1.8,5717.0
990,153,,,137.4,1.7,5735.5
1000,154,,,139.6,2.0,5754.0
1010,154,,,141.0,1.9,5773.5
1020,156,,,142.8,2.0,5793.0
1030,156,,,144.4,1.8,5811.0
1040,155,,,146.4,1.9,5830.5
1050,153,,,147.6,2.3,5851.5
1060,151,,,149.2,2.2,5874.0
1070,148,,,150.8,2.0,5895.0
1080,148,,,152.6,2.3,5917.5
1090,145,,,153.2,3.6,5951.0
1100,141,,,153.6,4.0,5991.0
1110,139,,,154.6,4.2,6032.0
1120,143,,,156.2,2.9,6066.5
1130,145,,,158.8,2.2,6087.0
1140,146,,,160.2,3.6,6117.0
1150,147,,,160.6,3.8,6156.0
1160,141,,,160.8,3.8,6195.0
1170,141,,,161.6,3.7,6232.5
1180,137,,,162.2,3.6,6270.0
1190,136,,,163.0,3.7,6306.5
1200,136,,,164.4,3.7,6342.5
1210,135,,,165.4,3.5,6377.5
1220,136,,,166.6,3.5,6412.5
1230,138,,,168.2,3.3,6446.5
1240,142,,,169.8,2.5,6473.5
1250,146,,,172.0,2.6,6499.0
1260,149,,,173.6,2.4,6523.0
1270,149,,,175.6,2.2,6544.0
1280,151,,,177.2,2.6,6569.0
1290,149,,,178.4,2.8,6596.0
1300,149,,,179.8,3.0,6624.0
1310,147,,,180.6,4.1,6660.5
1320,146,,,180.6,5.0,6710.0
1330,139,,,179.6,7.0,6772.0
1340,133,,,174.6,10.2,6868.0
1350,125,,,168.2,12.7,6989.5
1360,124,,,162.2,13.0,7118.0
1370,128,,,154.2,14.9,7259.5
1380,129,,,141.6,12.9,7400.5
1390,108,,,140.6,4.6,7464.0
1400,113,,,140.6,6.7,7522.5
1410,120,,,140.6,5.3,7579.5
1420,130,,,141.8,5.6,7633.0
1430,133,,,141.4,6.7,7697.5
1440,131,,,140.8,6.6,7764.0
1450,130,,,139.8,7.3,7835.5
1460,132,,,140.8,5.2,7892.0
1470,138,,,142.6,5.7,7946.5
1480,139,,,143.0,5.7,8003.5
1490,139,,,143.6,4.9,8054.5
1500,139,,,145.0,3.6,8094.0
1510,142,,,146.8,2.7,8122.5
1520,142,,,148.4,3.3,8152.5
1530,143,,,149.6,3.1,8183.5
1540,143,,,151.2,3.1,8214.5
1550,142,,,152.2,3.7,8249.5
1560,141,,,152.4,5.8,8300.0
1570,137,,,150.6,7.8,8371.0
1580,131,,,144.6,11.9,8480.5
1590,123,,,135.6,12.3,8605.5
1600,121,,,134.6,8.3,8699.5
1610,126,,,137.4,5.4,8759.0
1620,130,,,138.6,4.8,8809.0
1630,132,,,139.8,4.3,8854.5
1640,136,,,141.2,3.5,8891.5
1650,143,,,143.2,3.3,8924.5
1660,147,,,144.8,3.1,8955.5
1670,151,,,147.4,2.0,8977.0
1680,153,,,149.6,2.2,8999.0
1690,155,,,151.0,2.5,9023.5
1700,153,,,152.2,3.0,9051.0
1710,151,,,153.0,3.3,9084.5
1720,145,,,154.0,3.3,9117.5
1730,143,,,155.2,2.7,9147.5
1740,147,,,157.6,2.1,9170.5
1750,150,,,160.2,2.5,9194.5
1760,150,,,161.2,2.9,9221.5
1770,150,,,161.6,3.6,9258.0
1780,147,,,162.6,3.5,9295.5
1790,146,,,164.6,3.2,9328.0
1800,147,,,166.0,3.3,9361.5
1810,146,,,167.4,3.1,9394.5
1820,147,,,169.2,2.9,9424.5
1830,152,,,171.2,3.5,9458.5
1840,153,,,172.6,3.9,9497.5
1850,153,,,173.2,3.2,9529.0
1860,149,,,174.0,2.8,9559.0
1870,144,,,174.8,3.5,9592.5
1880,139,,,176.0,3.5,9627.5
1890,140,,,176.8,3.0,9659.0
1900,139,,,177.6,3.5,9692.5
1910,138,,,178.4,3.2,9726.0
1920,136,,,179.4,3.7,9761.5
1930,136,,,180.2,4.2,9803.0
1940,138,,,181.0,4.5,9845.5
1950,138,,,182.2,4.2,9886.0
1960,141,,,183.4,4.1,9926.5
1970,140,,,184.4,4.3,9970.5
1980,141,,,185.2,4.5,10015.5
1990,138,,,185.6,4.8,10063.0
2000,137,,,185.6,5.8,10118.0
2010,139,,,185.6,6.3,10181.5
2020,134,,,185.2,6.5,10246.5
2030,133,,,184.8,6.3,10308.5
2040,131,,,184.8,6.3,10371.5
2050,129,,,184.2,6.7,10438.5
2060,128,,,183.6,6.8,10506.0
2070,130,,,183.6,6.9,10574.5
2080,131,,,183.4,7.3,10646.5
2090,130,,,182.8,7.6,10722.0
2100,129,,,182.2,6.8,10792.0
2110,131,,,181.2,7.8,10868.0
2120,136,,,179.8,8.0,10949.0
2130,135,,,179.8,7.4,11025.0
2140,137,,,180.8,6.5,11091.5
2150,137,,,181.6,6.3,11154.5
2160,137,,,182.0,6.3,11217.5
2170,137,,,181.8,6.3,11281.5
2180,133,,,181.6,6.6,11348.0
2190,133,,,181.4,6.8,11416.0
2200,129,,,181.2,7.0,11486.0
2210,133,,,181.0,6.5,11552.5
2220,134,,,182.2,5.9,11613.5
2230,138,,,183.4,5.3,11668.5
2240,142,,,184.8,3.9,11710.5
2250,145,,,186.8,3.9,11748.5
2260,146,,,188.6,3.5,11785.5
2270,146,,,189.6,3.8,11823.0
2280,145,,,190.6,3.9,11862.5
2290,142,,,191.2,4.1,11901.5
2300,142,,,192.4,4.0,11940.0
2310,141,,,193.0,4.3,11979.5
2320,138,,,193.0,5.1,12028.5
2330,136,,,192.8,6.1,12086.5
2340,134,,,190.8,8.7,12167.5
2350,126,,,187.2,9.8,12264.0
2360,127,,,184.6,9.7,12363.5
2370,129,,,183.0,8.9,12454.5
2380,132,,,182.6,8.8,12541.0
2390,133,,,182.8,7.1,12617.5
2400,138,,,183.6,6.6,12685.0
2410,140,,,183.0,7.0,12755.0
2420,138,,,182.4,7.5,12828.5
2430,139,,,183.4,6.2,12892.0
2440,141,,,183.4,7.2,12960.0
2450,140,,,182.4,7.5,13036.5
2460,139,,,182.6,7.0,13107.0
2470,138,,,183.0,6.6,13174.0
2480,136,,,182.6,7.6,13245.0
2490,132,,,180.6,8.6,13331.0
2500,132,,,181.4,6.4,13400.0
2510,134,,,182.4,7.3,13467.5
2520,135,,,180.8,7.5,13543.5
2530,137,,,180.6,7.2,13617.0
2540,139,,,181.0,6.9,13686.5
2550,139,,,181.4,7.0,13755.0
2560,141,,,181.0,7.2,13827.0
2570,140,,,180.8,7.1,13898.5
2580,138,,,180.2,7.6,13974.0
2590,139,,,181.2,5.9,14039.5
2600,143,,,183.2,4.4,14086.0
2610,146,,,185.2,3.9,14126.5
2620,147,,,186.4,3.9,14164.5
2630,147,,,187.6,3.7,14202.5
2640,146,,,188.6,4.0,14242.0
2650,146,,,189.6,4.4,14283.0
2660,145,,,188.0,9.0,14359.0
2670,137,,,183.2,10.0,14458.0
2680,133,,,181.2,9.1,14553.5
2690,133,,,181.4,7.7,14633.5
2700,133,,,182.4,5.8,14695.0
2710,135,,,183.2,6.1,14755.5
2720,135,,,182.2,8.0,14830.0
2730,136,,,181.2,7.4,14905.0
2740,131,,,181.2,7.0,14975.0
2750,134,,,181.4,6.8,15045.0
2760,134,,,181.6,6.8,15113.0
2770,135,,,181.4,6.9,15182.5
2780,137,,,181.2,6.7,15252.5
2790,138,,,181.8,7.1,15320.5
2800,135,,,179.8,7.7,15398.5
2810,135,,,179.8,7.2,15472.0
2820,135,,,180.4,6.4,15539.0
2830,138,,,181.4,5.0,15594.0
2840,136,,,182.8,4.5,15640.5
2850,135,,,184.2,4.5,15685.5
2860,138,,,185.2,4.7,15733.5
2870,136,,,186.2,3.7,15774.5
2880,142,,,187.4,3.6,15810.0
2890,144,,,188.4,4.4,15852.0
2900,139,,,188.8,4.7,15899.5
2910,141,,,189.8,3.6,15939.0
2920,143,,,191.6,3.2,15972.0
2930,146,,,194.4,2.7,16000.5
2940,152,,,196.6,2.9,16027.5
2950,155,,,197.8,3.5,16060.5
2960,152,,,197.6,5.6,16110.0
2970,146,,,196.6,6.0,16171.0
2980,140,,,197.0,5.9,16230.5
2990,136,,,197.8,5.5,16285.5
3000,135,,,198.6,5.7,16341.5
3010,136,,,198.8,6.1,16401.5
3020,135,,,198.6,6.3,16463.5
3030,134,,,198.2,7.1,16531.5
3040,133,,,196.6,7.0,16603.0
3050,130,,,196.0,7.6,16675.0
3060,130,,,193.8,8.7,16759.5
3070,129,,,193.2,8.0,16841.0
3080,129,,,192.2,8.1,16921.5
3090,129,,,191.6,7.7,16997.5
3100,132,,,191.4,7.3,17070.5
3110,131,,,191.6,6.5,17136.5
3120,134,,,192.8,5.4,17195.0
3130,139,,,194.8,5.1,17244.5
3140,141,,,195.0,6.9,17309.5
3150,141,,,193.2,7.7,17384.5
3160,141,,,191.8,8.0,17464.0
3170,137,,,191.0,7.9,17541.5
3180,133,,,190.0,7.9,17623.5
3190,138,,,190.4,7.4,17698.0
3200,135,,,190.4,7.6,17771.0
3210,137,,,189.4,7.2,17847.0
3220,140,,,192.4,4.1,17893.5
3230,141,,,194.4,4.5,17936.5
3240,136,,,194.8,5.0,17986.0
3250,134,,,195.2,5.5,18039.5
3260,137,,,194.8,6.1,18097.5
3270,136,,,194.6,6.5,18161.5
3280,133,,,193.8,7.5,18232.5
3290,135,,,192.0,8.5,18315.5
3300,132,,,190.8,7.9,18395.5
3310,133,,,191.8,6.4,18463.0
3320,135,,,193.4,5.9,18523.5
3330,137,,,192.8,7.6,18594.0
3340,139,,,191.6,8.0,18673.0
3350,142,,,191.6,7.1,18746.5
3360,143,,,193.8,3.4,18790.0
3370,144,,,196.4,2.8,18818.0
3380,148,,,198.8,2.6,18846.0
3390,152,,,201.0,2.8,18873.0
3400,157,,,203.2,3.3,18904.5
3410,157,,,204.6,3.3,18937.5
3420,154,,,205.6,3.5,18972.5
3430,151,,,206.4,3.7,19010.5
3440,143,,,206.8,4.9,19055.5
3450,144,,,206.8,6.4,19115.0
3460,138,,,205.8,7.3,19185.5
3470,135,,,203.2,9.4,19274.0
3480,129,,,200.0,9.3,19370.5
3490,131,,,200.4,8.2,19456.0
3500,132,,,201.4,6.7,19527.5
3510,138,,,203.0,6.3,19590.5
3520,138,,,203.0,6.8,19657.0
3530,139,,,202.2,7.5,19730.5
3540,137,,,200.8,7.8,19808.0
3550,134,,,199.6,8.2,19890.0
3560,132,,,199.0,7.8,19969.0
3570,132,,,198.6,7.7,20045.5
3580,133,,,198.0,8.5,20127.5
3590,134,,,193.6,10.9,20231.5
3600,132,,,191.6,9.4,20330.0
3610,133,,,191.8,8.3,20415.5
3620,133,,,190.0,9.7,20508.5
3630,132,,,185.0,10.8,20616.0
3640,135,,,185.4,7.5,20699.5
3650,139,,,187.6,6.2,20763.0
3660,139,,,188.4,6.5,20826.5
3670,139,,,188.2,6.5,20891.5
3680,139,,,188.6,6.3,20954.5
3690,137,,,186.6,8.5,21035.5
3700,128,,,183.4,9.3,21125.5
3710,128,,,179.6,9.1,21219.5
3720,127,,,181.4,4.7,21280.5
3730,135,,,185.0,2.3,21307.5
3740,138,,,186.8,2.5,21333.5
3750,140,,,188.6,2.5,21358.5
3760,142,,,190.2,2.7,21384.5
3770,142,,,190.6,3.9,21419.5
3780,139,,,190.4,5.5,21472.5
3790,138,,,190.8,5.0,21525.0
3800,143,,,193.0,5.0,21574.0
3810,145,,,193.6,6.7,21633.5
3820,145,,,190.4,9.4,21720.0
3830,142,,,185.2,10.3,21825.5
3840,143,,,187.6,6.2,21897.0
3850,145,,,188.6,9.8,21980.0
3860,144,,,181.4,11.0,22092.0
3870,149,,,184.4,5.3,22159.5
3880,149,,,188.0,4.9,22207.5
3890,146,,,188.6,4.7,22256.5
3900,147,,,190.4,3.8,22296.0
3910,147,,,192.4,4.3,22336.5
3920,146,,,192.2,6.1,22392.5
3930,142,,,190.6,7.3,22464.5
3940,138,,,189.8,7.1,22536.5
3950,134,,,190.0,6.7,22603.5
3960,134,,,189.8,7.2,22673.0
3970,133,,,186.2,10.8,22770.0
3980,134,,,177.2,12.7,22896.5
