time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,,,,13.6,0.0,0.0
10,,,,13.4,0.6,3.0
20,,,,12.8,3.4,33.0
30,,,,13.2,4.7,80.0
40,,,,14.2,4.9,128.0
50,,,,15.2,5.0,178.0
60,,,,16.2,4.8,227.0
70,,,,18.2,3.4,268.0
83,,,,19.8,1.014,279.2
93,,,,20.8,3.9,319.5
103,,,,21.8,4.9,365.5
113,,,,21.8,6.1,423.5
123,,,,21.2,6.8,492.0
133,,,,21.0,5.9,554.5
143,,,,22.8,5.1,605.5
153,,,,25.2,5.0,657.0
163,,,,28.2,3.9,694.5
173,,,,25.8,8.1,765.5
183,,,,21.8,8.1,848.5
193,,,,20.8,6.9,919.5
203,,,,21.0,7.0,988.0
213,,,,19.8,8.1,1065.5
223,,,,18.2,7.6,1144.0
233,,,,18.0,7.6,1216.0
243,,,,21.4,4.9,1273.5
253,,,,25.6,3.2,1311.0
263,,,,28.8,2.8,1339.0
273,,,,32.0,2.7,1366.5
283,,,,34.8,2.8,1395.0
293,,,,37.2,3.1,1426.5
303,,,,38.6,4.2,1464.0
313,,,,37.4,7.7,1530.5
323,,,,29.0,7.6,1604.0
333,,,,23.6,6.6,1665.0
343,,,,21.2,6.4,1728.0
353,,,,20.6,3.4,1773.0
363,,,,20.2,5.8,1824.0
373,,,,19.2,7.1,1889.5
383,,,,15.8,8.5,1971.5
393,,,,14.6,6.1,2044.5
403,,,,14.6,6.0,2096.0
413,,,,14.4,4.8,2155.0
439,,,,15.6,0.475,2169.2
449,,,,14.2,7.2,2231.0
459,,,,12.6,6.6,2301.0
469,,,,15.8,5.2,2357.0
479,,,,17.0,6.6,2416.0
489,,,,12.0,9.2,2504.0
499,,,,10.2,7.4,2584.0
509,,,,11.8,4.6,2636.0
519,,,,11.8,6.0,2694.0
529,,,,12.6,5.8,2752.0
539,,,,12.6,4.5,2801.5
549,,,,13.6,3.917,2827.5
559,,,,12.6,6.3,2887.5
569,,,,11.6,6.7,2955.5
579,,,,11.6,6.5,3022.5
589,,,,12.0,6.5,3087.5
599,,,,12.6,6.7,3154.5
609,,,,12.6,6.6,3221.0
619,,,,13.0,6.8,3288.0
629,,,,13.6,7.0,3357.0
639,,,,13.6,6.7,3424.5
649,,,,13.4,6.5,3489.5
659,,,,13.4,6.7,3556.5
669,,,,14.8,2.9,3601.5
679,,,,14.4,6.2,3662.0
689,,,,14.6,6.1,3717.5
699,,,,15.4,6.4,3781.0
709,,,,17.4,6.1,3842.5
719,,,,18.6,6.5,3906.5
729,,,,18.2,6.1,3970.5
739,,,,16.6,3.1,4014.5
749,,,,14.8,7.0,4080.0
759,,,,12.6,3.9,4136.5
769,,,,12.0,5.9,4180.5
779,,,,10.6,7.2,4251.0
789,,,,9.4,7.3,4324.5
799,,,,9.6,5.2,4384.0
809,,,,10.4,5.6,4432.0
819,,,,9.6,5.4,4489.0
829,,,,9.2,6.7,4555.5
839,,,,8.8,6.7,4622.5
849,,,,8.8,6.6,4689.0
859,,,,8.4,6.9,4757.5
869,,,,8.6,5.4,4817.0
884,,,,10.6,0.931,4832.1
894,,,,10.8,5.5,4885.5
904,,,,13.4,5.6,4941.0
914,,,,12.4,4.8,4995.0
924,,,,8.8,7.7,5068.5
934,,,,7.4,7.2,5141.0
944,,,,7.6,5.3,5200.5
