time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,107,,,14.2,0.0,0.0
10,106,,,13.8,2.8,14.0
20,113,,,13.0,5.0,60.0
30,116,,,12.6,5.7,115.0
40,118,,,12.6,5.2,170.0
50,118,,,14.6,3.7,210.0
60,115,,,16.6,4.5,252.0
70,123,,,17.8,5.0,300.0
80,131,,,16.0,7.3,366.0
90,132,,,12.6,6.8,437.0
100,138,,,13.0,6.7,505.0
110,142,,,12.8,7.1,576.0
120,144,,,13.2,3.7,624.0
130,146,,,15.0,3.5,648.0
140,142,,,16.0,4.5,692.0
150,138,,,17.2,1.6,710.0
160,134,,,18.2,2.5,737.0
193,118,,,18.2,0.559,755.4
203,113,,,18.2,4.9,798.5
213,113,,,18.2,3.4,841.0
223,120,,,18.0,4.6,870.0
233,121,,,18.0,3.8,915.0
262,115,,,18.8,0.418,928.3
272,114,,,19.2,3.9,959.5
282,115,,,19.6,5.1,1004.5
292,116,,,20.0,3.1,1042.5
302,117,,,20.8,2.2,1063.0
312,118,,,20.4,3.6,1104.0
322,119,,,21.2,3.2,1128.0
332,120,,,20.8,4.7,1172.5
342,126,,,20.0,5.5,1225.5
352,128,,,19.4,5.4,1281.0
362,125,,,19.4,5.7,1337.5
372,125,,,19.6,4.7,1388.5
393,112,,,20.2,0.815,1417.2
403,112,,,19.0,6.0,1473.0
413,116,,,18.2,6.1,1534.5
423,123,,,17.8,6.5,1600.5
433,129,,,18.2,4.8,1655.0
443,130,,,18.0,5.4,1704.0
453,132,,,18.2,5.9,1763.5
463,127,,,18.2,6.7,1827.5
473,129,,,19.2,1.099,1859.5
507,114,,,19.8,0.5,1876.5
517,109,,,18.6,6.0,1930.0
527,116,,,19.4,6.2,1990.0
537,122,,,19.2,6.2,2052.0
547,126,,,19.0,6.2,2115.0
557,130,,,19.2,5.7,2172.5
567,133,,,19.6,2.4,2210.0
577,130,,,19.8,4.6,2246.0
587,131,,,20.0,5.7,2302.5
597,134,,,20.2,5.8,2361.0
607,132,,,20.8,3.9,2406.5
617,128,,,20.8,2.1,2433.5
627,120,,,20.8,4.6,2474.0
637,114,,,21.2,5.8,2529.0
647,113,,,21.8,5.4,2584.0
657,118,,,23.2,4.1,2628.5
667,122,,,23.4,3.4,2658.0
677,121,,,23.0,4.0,2694.0
687,121,,,21.8,3.1,2727.5
697,120,,,22.4,2.4,2757.0
707,119,,,22.2,3.0,2792.0
717,120,,,22.8,2.9,2821.5
727,117,,,23.2,1.204,2837.5
737,114,,,23.6,1.392,2851.7
747,110,,,23.6,0.0,2856.7
1100,87,,,23.6,0.027,2866.2
1110,87,,,23.2,4.1,2901.5
1120,92,,,22.8,3.4,2937.0
1130,100,,,23.2,1.8,2959.0
1140,104,,,23.6,3.0,2984.0
1150,108,,,23.2,4.8,3028.0
1160,114,,,23.6,5.4,3081.0
1170,120,,,24.4,3.8,3124.0
1180,121,,,26.2,3.6,3159.0
1190,115,,,28.2,4.2,3202.0
1200,112,,,28.6,3.4,3238.0
1210,111,,,28.6,4.6,3283.0
1220,114,,,29.2,4.9,3331.5
1230,118,,,28.2,5.7,3388.5
1240,117,,,28.2,3.9,3427.5
1250,118,,,27.6,5.8,3483.0
1260,117,,,26.6,5.0,3537.0
1270,118,,,26.8,4.5,3578.5
1280,118,,,26.8,5.3,3629.5
1290,121,,,26.8,5.4,3684.0
1300,124,,,26.8,5.3,3736.5
1310,121,,,27.4,2.0,3770.0
1320,120,,,27.2,5.3,3813.5
1330,122,,,26.0,5.3,3861.5
1340,125,,,26.2,5.5,3916.5
1350,128,,,27.2,4.8,3966.0
1360,132,,,27.6,5.3,4017.5
1370,131,,,27.2,6.3,4077.5
1380,131,,,24.6,6.5,4144.5
1390,132,,,24.0,5.8,4205.0
1400,132,,,25.2,3.1,4246.5
1410,130,,,26.2,4.5,4285.5
1420,130,,,26.6,5.5,4337.5
1430,132,,,26.8,5.7,4394.5
1440,132,,,27.4,5.3,4446.5
1450,131,,,28.8,3.3,4485.5
1460,131,,,28.8,4.3,4525.5
1470,127,,,28.2,5.3,4579.5
1480,128,,,29.0,4.9,4630.5
1490,130,,,30.6,4.9,4679.5
1500,130,,,31.2,3.9,4720.5
1510,127,,,28.6,6.7,4781.5
1520,122,,,28.6,4.8,4834.0
1530,120,,,29.8,5.5,4879.5
1540,122,,,30.6,4.3,4927.5
1550,120,,,33.2,5.1,4973.5
1560,119,,,31.6,6.3,5036.5
1582,122,,,32.0,0.881,5062.1
1592,118,,,32.6,4.2,5104.0
1602,117,,,35.6,4.0,5144.0
1612,115,,,37.6,4.5,5188.5
1622,114,,,38.8,4.8,5231.0
1632,116,,,35.0,6.3,5295.5
1642,119,,,32.0,6.4,5354.0
1652,126,,,28.8,5.6,5412.0
1662,129,,,27.2,3.7,5462.5
1672,130,,,27.0,5.1,5502.5
1682,136,,,24.8,6.4,5563.0
1692,135,,,23.2,3.5,5613.5
1702,132,,,23.0,5.6,5661.0
1712,129,,,23.2,2.4,5699.0
1722,131,,,22.8,4.8,5745.0
1732,134,,,22.2,4.5,5784.5
1742,140,,,21.4,5.7,5844.5
1752,141,,,21.8,5.4,5893.0
1762,139,,,17.8,7.9,5967.5
1772,139,,,17.4,6.2,6035.0
1782,134,,,17.6,6.3,6096.5
1792,129,,,17.6,1.4,6130.0
