time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,,,,13.8,0.0,0.0
10,,,,12.8,6.4,43.0
20,,,,12.4,6.3,104.0
30,,,,12.4,6.4,169.0
40,,,,14.6,4.3,218.0
69,,,,17.6,0.634,243.0
79,,,,17.0,5.4,292.0
89,,,,16.2,7.7,360.5
99,,,,11.4,8.5,447.5
109,,,,11.0,7.4,524.0
119,,,,11.6,7.0,596.0
129,,,,13.6,6.2,661.0
139,,,,15.6,5.6,718.0
149,,,,16.4,6.2,778.0
159,,,,17.2,7.0,846.0
169,,,,16.4,4.9,907.5
179,,,,18.0,4.8,954.0
189,,,,18.2,5.6,1007.0
199,,,,18.4,5.5,1065.5
209,,,,19.4,5.8,1115.0
219,,,,18.6,6.8,1179.0
229,,,,19.0,5.3,1236.5
239,,,,19.6,6.3,1293.5
249,,,,19.2,4.6,1339.0
259,,,,17.4,6.9,1406.5
269,,,,17.2,7.8,1483.0
279,,,,16.2,7.6,1559.0
289,,,,15.6,7.7,1635.5
299,,,,15.6,7.7,1713.5
309,,,,15.4,7.8,1791.0
319,,,,15.2,8.3,1870.5
329,,,,14.6,8.0,1951.0
339,,,,13.4,7.8,2030.0
349,,,,12.8,8.0,2111.0
359,,,,13.2,6.6,2183.0
369,,,,16.8,6.4,2251.0
379,,,,18.2,7.3,2318.5
389,,,,14.2,8.0,2398.0
399,,,,12.8,6.9,2470.5
409,,,,13.6,6.2,2535.0
419,,,,15.6,5.2,2589.0
429,,,,16.2,5.8,2648.0
439,,,,16.8,5.2,2701.0
449,,,,19.2,5.3,2754.5
459,,,,23.2,4.0,2796.0
469,,,,26.4,3.8,2835.0
479,,,,29.6,3.7,2870.5
489,,,,33.2,3.9,2907.5
499,,,,36.2,3.8,2945.0
509,,,,38.0,0.677,2966.4
519,,,,38.2,5.063,3002.0
529,,,,35.0,7.0,3068.0
539,,,,34.0,7.1,3138.0
549,,,,34.6,6.6,3206.0
559,,,,36.8,5.6,3264.0
569,,,,37.4,7.2,3331.0
579,,,,33.8,8.7,3415.0
589,,,,31.2,7.5,3487.0
599,,,,29.2,7.5,3559.0
609,,,,30.6,6.4,3628.0
619,,,,32.0,7.0,3698.0
629,,,,32.6,5.2,3753.0
639,,,,34.2,1.1,3768.0
649,,,,35.0,4.2,3799.0
659,,,,38.0,4.6,3847.0
669,,,,42.0,3.7,3885.0
679,,,,45.4,3.5,3920.0
689,,,,47.2,3.7,3956.0
699,,,,48.8,4.2,3995.0
709,,,,49.0,5.4,4046.0
719,,,,49.2,5.8,4104.0
729,,,,48.6,6.6,4164.0
739,,,,45.2,7.4,4236.0
749,,,,40.2,9.0,4323.0
759,,,,35.6,9.0,4414.0
769,,,,32.0,9.6,4507.0
779,,,,27.6,11.2,4616.0
789,,,,20.6,10.2,4721.0
799,,,,18.2,9.2,4815.0
809,,,,15.2,9.7,4908.0
819,,,,13.4,7.9,4991.0
829,,,,13.4,6.9,5062.0
