time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,86,,,121.0,0.0,0.0
10,78,,,120.6,3.9,24.0
20,93,,,119.6,5.3,71.0
30,107,,,118.2,5.3,128.0
40,116,,,119.0,4.6,173.0
50,121,,,119.4,4.3,218.0
60,125,,,120.4,4.1,260.0
70,131,,,121.6,3.5,297.0
80,135,,,124.2,3.4,330.0
90,134,,,124.8,4.2,370.0
100,133,,,125.0,4.7,416.0
110,132,,,125.4,5.0,466.0
120,129,,,126.0,4.5,512.0
130,127,,,127.0,4.8,560.0
140,129,,,127.4,5.0,610.0
150,128,,,127.0,6.1,668.0
160,125,,,125.6,6.5,734.0
170,122,,,125.6,5.8,794.0
180,126,,,125.6,6.2,856.0
190,130,,,125.0,6.7,920.0
200,128,,,122.8,7.0,990.0
210,124,,,122.0,6.9,1058.0
220,126,,,119.6,8.2,1136.0
230,119,,,117.6,7.5,1214.0
240,124,,,116.6,7.2,1285.0
250,123,,,114.8,7.8,1362.0
260,127,,,113.6,7.5,1437.0
270,134,,,114.2,5.1,1494.0
280,138,,,115.6,6.0,1548.0
290,140,,,115.0,6.5,1614.0
300,140,,,114.6,5.1,1669.0
310,138,,,115.6,5.0,1719.0
320,135,,,115.6,5.4,1772.0
330,133,,,114.8,7.4,1839.0
340,130,,,113.0,6.8,1911.0
350,134,,,115.0,5.3,1966.0
360,137,,,116.8,4.6,2014.0
370,136,,,118.6,3.8,2054.0
380,140,,,119.4,4.2,2095.0
390,141,,,120.6,4.3,2137.0
400,139,,,121.6,3.9,2176.0
410,139,,,123.2,3.5,2211.0
420,140,,,124.6,4.8,2253.0
430,138,,,122.0,8.8,2333.0
440,129,,,116.6,9.8,2432.0
450,129,,,115.2,8.1,2518.0
460,131,,,116.4,6.1,2584.0
470,133,,,118.4,4.4,2632.0
480,140,,,120.6,4.1,2674.0
490,144,,,122.4,3.6,2712.0
500,147,,,124.6,3.5,2747.0
510,149,,,126.6,4.0,2785.0
520,150,,,127.6,4.2,2827.0
530,150,,,128.4,4.7,2872.0
540,148,,,128.4,5.7,2926.0
550,143,,,128.8,5.1,2979.0
560,140,,,129.8,5.5,3032.0
570,136,,,128.2,6.9,3100.0
580,132,,,127.6,6.5,3166.0
590,135,,,128.6,6.0,3228.0
600,133,,,128.2,7.6,3299.0
610,130,,,124.4,9.9,3395.0
620,125,,,122.0,8.6,3484.0
630,127,,,121.4,8.5,3568.0
640,131,,,120.6,7.4,3646.0
650,132,,,121.0,6.9,3715.0
660,133,,,121.2,6.6,3781.0
670,135,,,120.6,7.0,3851.0
680,138,,,120.6,7.0,3922.0
690,136,,,120.2,6.6,3989.0
700,134,,,120.2,7.4,4059.0
710,130,,,116.0,8.6,4145.0
720,129,,,114.8,8.7,4231.0
730,125,,,112.0,8.8,4321.0
740,129,,,111.6,7.1,4395.0
750,138,,,114.4,4.8,4449.0
760,143,,,117.6,3.1,4482.0
770,147,,,119.6,3.1,4514.0
780,149,,,121.0,2.8,4543.0
790,149,,,122.2,2.9,4572.0
800,149,,,123.6,3.6,4605.0
810,145,,,123.2,5.7,4658.0
820,141,,,122.6,5.9,4717.0
830,139,,,122.2,6.6,4780.0
840,121,,,119.0,8.2,4859.0
850,117,,,117.0,8.7,4944.0
860,106,,,113.2,9.3,5036.0
870,117,,,110.6,9.3,5130.0
880,123,,,110.6,8.2,5213.0
890,131,,,110.8,7.7,5290.0
900,133,,,111.0,7.5,5364.0
910,137,,,110.6,8.2,5444.0
920,140,,,109.6,7.8,5524.0
930,138,,,109.8,7.5,5600.0
940,137,,,109.2,7.5,5675.0
950,137,,,109.0,7.6,5751.0
960,137,,,109.4,7.2,5822.0
970,139,,,110.6,6.4,5889.0
980,138,,,111.0,7.3,5958.0
990,136,,,109.6,7.7,6036.0
1000,133,,,109.8,7.5,6111.0
1010,131,,,109.6,7.5,6185.0
1020,130,,,109.4,7.5,6260.0
1030,131,,,109.4,7.5,6335.0
1040,133,,,109.2,7.4,6409.0
1050,133,,,109.4,7.3,6483.0
1060,134,,,109.4,7.5,6557.0
1070,135,,,109.6,7.4,6630.0
1080,132,,,110.0,7.5,6704.0
1090,132,,,109.6,7.5,6778.0
1100,134,,,109.4,7.3,6851.0
1110,134,,,109.6,7.2,6923.0
1120,137,,,110.0,7.2,6995.0
1130,135,,,109.8,7.2,7067.0
1140,136,,,109.6,7.1,7138.0
1150,137,,,109.8,7.0,7209.0
1160,135,,,110.0,7.2,7281.0
1170,134,,,110.0,7.0,7352.0
1180,135,,,110.0,7.0,7423.0
1190,136,,,110.0,7.3,7495.0
1200,136,,,110.0,7.2,7567.0
1210,137,,,110.4,6.6,7634.0
1220,138,,,111.6,5.6,7691.0
1230,141,,,113.6,4.8,7740.0
1240,144,,,115.4,4.5,7785.0
1250,146,,,117.2,4.7,7831.0
1260,148,,,118.0,4.5,7878.0
1270,145,,,119.0,4.0,7920.0
1280,144,,,120.6,3.6,7955.0
1290,142,,,122.6,3.7,7992.0
